date,open,high,low,close,volume,adjclose
2020-10-29,1855,1965,1855,1965,139627,1965
2020-10-28,1940,1955,1890,1950,46069,1950
2020-10-27,1890,1970,1855,1935,49958,1935
2020-10-26,1955,1975,1890,1920,42871,1920
2020-10-23,2035,2040,1975,1975,50451,1975
2020-10-22,2030,2045,1970,2045,37396,2045
2020-10-21,2020,2060,1970,2050,48799,2050
2020-10-20,2005,2080,1880,2040,159371,2040
2020-10-19,2020,2050,1955,1990,43606,1990
2020-10-16,2070,2090,1990,2020,109202,2020
2020-10-15,2115,2115,1995,2100,98986,2100
2020-10-14,2105,2120,2055,2115,44124,2115
2020-10-13,2090,2130,2060,2105,36380,2105
2020-10-12,2090,2115,2045,2095,45130,2095
2020-10-08,2125,2140,2060,2075,83709,2075
2020-10-07,2090,2120,2060,2100,47906,2100
2020-10-06,2060,2100,2035,2080,63005,2080
2020-10-05,2060,2075,2030,2075,70877,2075
2020-10-01,2060,2060,2060,2060,0,2060
2020-09-30,2060,2060,2060,2060,0,2060
2020-09-29,2060,2060,1990,2060,44975,2060
2020-09-28,1940,2045,1900,2040,61622,2040
2020-09-25,1940,1965,1875,1940,93762,1940
2020-09-24,1980,2010,1850,1850,214317,1850
2020-09-23,2050,2065,1965,2015,116568,2015
2020-09-22,2090,2155,2015,2025,78971,2025
2020-09-21,2180,2180,1965,2090,113777,2090
