,open,high,low,close,volume,adjclose
2019-11-18,2480,2480,2415,2450,76003,2450
2019-11-14,2515,2525,2480,2510,57990,2510
2019-11-13,2525,2525,2490,2510,39891,2510
2019-11-12,2525,2530,2495,2515,52010,2515
2019-11-08,2500,2530,2500,2525,58106,2525
2019-11-07,2485,2585,2460,2510,471995,2510
2019-11-06,2495,2510,2460,2485,71748,2485
2019-11-05,2485,2525,2470,2505,127176,2505
2019-11-04,2495,2530,2470,2510,64484,2510
2019-11-01,2500,2520,2485,2515,48220,2515
2019-10-31,2540,2540,2500,2525,17557,2525
2019-10-30,2525,2535,2470,2520,33865,2520
2019-10-29,2460,2510,2460,2490,69076,2490
2019-10-28,2515,2540,2450,2505,114552,2505
2019-10-25,2520,2540,2495,2525,59270,2525
2019-10-24,2510,2545,2445,2545,114604,2545
2019-10-23,2545,2550,2450,2515,83539,2515
2019-10-22,2570,2585,2515,2545,47527,2545
2019-10-21,2570,2590,2540,2570,23691,2570
2019-10-18,2590,2615,2560,2590,38021,2590
2019-10-17,2645,2645,2580,2605,29359,2605
2019-10-16,2655,2655,2595,2630,42269,2630
2019-10-15,2610,2640,2580,2640,16921,2640
2019-10-14,2590,2620,2580,2620,21138,2620
2019-10-11,2605,2605,2545,2590,39072,2590
2019-10-10,2600,2650,2555,2585,12334,2585
2019-10-09,2590,2590,2590,2590,0,2590
2019-10-08,2530,2590,2530,2590,20435,2590
