date,open,high,low,close,volume,adjclose
2020-09-16,9150,9240,8960,9060,1130153,9060
2020-09-15,8960,9270,8780,9100,1390313,9100
2020-09-14,8840,9290,8840,8950,1139893,8950
2020-09-11,9100,9330,8700,8910,1261659,8910
2020-09-10,9250,9960,8950,9190,4347929,9190
2020-09-09,8000,10250,7930,9320,10092957,9320
2020-09-08,8550,8900,8170,8240,2280459,8240
2020-09-04,6440,7790,6410,7470,3157830,7470
2020-09-03,6650,6860,6570,6800,407840,6800
2020-09-02,6510,6650,6430,6650,257377,6650
2020-09-01,6700,6710,6420,6500,548993,6500
2020-08-31,6040,6600,6040,6500,971674,6500
2020-08-28,5930,6170,5910,6020,179211,6020
2020-08-27,6120,6120,5860,5890,226824,5890
2020-08-26,6200,6270,6030,6100,260212,6100
2020-08-25,6220,6280,6120,6200,223100,6200
2020-08-24,6080,6170,5940,6150,173458,6150
2020-08-21,5910,6110,5520,6030,309550,6030
2020-08-20,6180,6280,5710,5850,378155,5850
2020-08-19,5990,6190,5920,6180,377082,6180
2020-08-18,6500,6700,5860,5980,666638,5980
2020-08-17,6520,6520,6520,6520,0,6520
2020-08-14,6720,6760,6290,6520,270702,6520
2020-08-13,6940,6950,6620,6740,178977,6740
2020-08-12,6980,7070,6740,6820,336122,6820
2020-08-11,7150,7220,6950,7050,406739,7050
2020-08-10,6800,7080,6720,7080,568221,7080
2020-08-07,6850,6860,6670,6810,258960,6810
2020-08-06,6800,6850,6700,6820,381975,6820
2020-08-05,6720,6880,6600,6800,563811,6800
