Date,Open,High,Low,Close,Volume,Adj Close
2018-12-19,2200,2295,2190,2280,370158,2280
2018-12-18,2145,2195,2120,2165,96680,2165
2018-12-17,2195,2195,2120,2145,78484,2145
2018-12-14,2180,2210,2130,2165,87908,2165
2018-12-13,2130,2185,2115,2180,57755,2180
2018-12-12,2090,2125,2080,2105,46173,2105
2018-12-11,2115,2145,2065,2090,150475,2090
2018-12-10,2130,2170,2110,2115,68338,2115
2018-12-07,2155,2190,2140,2175,68307,2175
2018-12-06,2200,2200,2130,2140,82180,2140
2018-12-05,2190,2225,2180,2190,47408,2190
2018-12-04,2210,2230,2190,2215,79086,2215
2018-12-03,2180,2255,2165,2210,112407,2210
2018-11-30,2210,2210,2140,2160,126225,2160
2018-11-29,2250,2300,2175,2195,171627,2195
2018-11-28,2230,2335,2230,2245,486389,2245
2018-11-27,2195,2410,2160,2210,508768,2210
2018-11-26,2265,2265,2175,2195,204993,2195
2018-11-23,2175,2245,2145,2180,300609,2180
2018-11-22,2135,2185,2110,2130,165060,2130
2018-11-21,2065,2200,2030,2135,317277,2135
2018-11-20,2030,2070,2030,2065,62130,2065
2018-11-19,2015,2085,2005,2065,118445,2065
2018-11-16,1985,2050,1985,2005,263160,2005
2018-11-15,1980,2005,1955,1995,69465,1995
2018-11-14,1995,2030,1980,1990,54345,1990
2018-11-13,1960,2015,1945,2015,80930,2015
2018-11-12,2020,2020,1975,1990,90626,1990
2018-11-09,2015,2040,1985,2020,109281,2020
2018-11-08,2050,2070,2010,2010,71048,2010
