,open,high,low,close,volume,adjclose
2020-07-29,2090,2090,2040,2075,1352,2075
2020-07-28,2030,2070,2030,2060,8911,2060
2020-07-27,2025,2065,2025,2040,2338,2040
2020-07-24,2050,2070,2050,2065,743,2065
2020-07-23,2045,2070,2045,2070,467,2070
2020-07-22,2045,2065,2030,2060,3055,2060
2020-07-21,2040,2070,2040,2050,143,2050
2020-07-20,2035,2055,2035,2050,1245,2050
2020-07-17,2055,2055,2040,2045,334,2045
2020-07-16,2075,2075,2040,2045,3335,2045
2020-07-15,2090,2090,2050,2060,1566,2060
2020-07-14,2095,2095,2055,2065,3895,2065
2020-07-13,2040,2100,2040,2070,18433,2070
2020-07-10,2040,2075,2040,2040,4276,2040
2020-07-09,2015,2140,2015,2035,28322,2035
2020-07-08,2015,2020,2015,2015,1049,2015
2020-07-07,2020,2020,2015,2015,1362,2015
2020-07-06,2020,2020,2015,2020,1636,2020
2020-07-02,2015,2015,2010,2015,12691,2015
2020-07-01,2010,2015,2010,2015,7474,2015
2020-06-30,2015,2015,2010,2010,7220,2010
2020-06-29,2015,2015,2010,2015,1475,2015
2020-06-26,2015,2015,2010,2015,10156,2015
2020-06-25,2010,2015,2010,2015,6596,2015
2020-06-24,2015,2025,2015,2025,4531,2025
2020-06-23,2015,2015,2015,2015,4024,2015
2020-06-22,2000,2020,2000,2015,5858,2015
2020-06-19,2015,2025,2000,2015,27160,2015
2020-06-18,2025,2025,2010,2015,20297,2015
2020-06-17,2025,2025,2015,2020,539,2020
