,open,high,low,close,volume,adjclose
2019-11-18,22750,22850,22200,22750,153228,22750
2019-11-14,21700,22300,21300,22150,112362,22150
2019-11-13,23000,23050,21050,21750,302021,21750
2019-11-12,22500,23300,22000,23000,118460,23000
2019-11-08,24300,24300,23300,23700,196783,23700
2019-11-07,22850,24100,22350,24000,362341,24000
2019-11-06,22750,23350,21900,22850,254860,22850
2019-11-05,23000,23000,22200,22850,173891,22850
2019-11-04,22100,23500,22050,23100,323974,23100
2019-11-01,20650,22450,20650,22200,277277,22200
2019-10-31,22300,22950,20200,20700,393410,20700
2019-10-30,22500,23300,21700,22300,347383,22300
2019-10-29,20750,22800,20000,22600,619669,22600
2019-10-28,19650,21050,19550,20600,367129,20600
2019-10-25,18500,19750,18100,19500,255597,19500
2019-10-24,19000,19000,17900,18650,193921,18650
2019-10-23,18050,19000,17950,18850,327104,18850
2019-10-22,18250,18300,17700,17900,117819,17900
2019-10-21,17900,18100,17450,18050,126415,18050
2019-10-18,16950,17750,16800,17750,130796,17750
2019-10-17,17250,17400,16600,16950,93783,16950
2019-10-16,17650,17800,16950,17150,167473,17150
2019-10-15,17800,17850,17450,17650,84386,17650
2019-10-14,18100,18350,17500,17800,133994,17800
2019-10-11,17650,18700,17250,17850,310154,17850
2019-10-10,17950,18150,17500,17700,181450,17700
2019-10-09,18200,18200,18200,18200,0,18200
2019-10-08,17400,18450,17050,18200,410559,18200
