Date,Open,High,Low,Close,Volume,Adj_Close
2021-01-26,3910,4030,3520,3680,2091418,3680
2021-01-25,3980,4040,3710,3890,3241507,3890
2021-01-22,3170,4195,3035,3900,17602085,3900
2021-01-21,2930,3400,2930,3305,2444368,3305
2021-01-20,2850,2935,2800,2915,1390387,2915
2021-01-19,2775,2910,2775,2785,1687091,2785
2021-01-18,2655,3240,2570,2840,27743240,2840
2021-01-15,2445,3075,2430,2685,27837897,2685
2021-01-14,2415,2530,2280,2490,15268392,2490
2021-01-13,2005,2560,2005,2560,11035213,2560
2021-01-12,2015,2030,1950,1970,672861,1970
2021-01-11,1975,2130,1940,2030,2808216,2030
2021-01-08,1935,2150,1925,1950,5916964,1950
2021-01-07,1865,1935,1865,1910,854647,1910
2021-01-06,1950,1950,1815,1850,852231,1850
2021-01-05,1855,1865,1800,1850,642627,1850
2021-01-04,1720,1950,1710,1850,1997735,1850
2020-12-30,1680,1725,1675,1710,220815,1710
2020-12-29,1675,1700,1660,1680,172044,1680
2020-12-28,1700,1700,1655,1670,276316,1670
2020-12-24,1790,1790,1650,1700,854905,1700
2020-12-23,1680,2020,1650,1740,5526326,1740
2020-12-22,1700,1750,1680,1695,286157,1695
2020-12-21,1750,1780,1735,1745,161019,1745
2020-12-18,1755,1780,1755,1755,178665,1755
2020-12-17,1760,1770,1750,1770,125808,1770
2020-12-16,1765,1775,1740,1760,135900,1760
2020-12-15,1770,1775,1740,1760,232527,1760
2020-12-14,1785,1785,1760,1780,114338,1780
2020-12-11,1800,1820,1780,1790,155523,1790
