Date,Open,High,Low,Close,Volume,Adj Close
2018-08-17,40200,41000,38500,38800,67612,38800
2018-08-16,39800,40750,38600,40200,132804,40200
2018-08-14,37200,39300,35250,39200,99718,39200
2018-08-13,37800,38000,35600,37500,51802,37500
2018-08-10,37300,39000,37300,37900,18546,37900
2018-08-09,36400,38050,36200,37800,52356,37800
2018-08-08,35500,37800,34900,36400,75303,36400
2018-08-07,35400,35700,34400,34900,14533,34900
2018-08-06,36900,37350,34250,35250,35514,35250
2018-08-03,36000,37400,36000,36900,52653,36900
2018-08-02,35350,37400,35300,35850,68586,35850
2018-08-01,33850,35600,33700,35600,13152,35600
2018-07-31,34300,34300,33600,33900,3932,33900
2018-07-30,34200,34450,33750,34300,5733,34300
2018-07-27,34150,34600,33600,34450,8464,34450
2018-07-26,34100,34500,33500,34200,4862,34200
2018-07-25,34850,34900,33200,34100,7718,34100
2018-07-24,33400,34500,33000,34450,14931,34450
2018-07-23,34150,34750,33050,33400,13487,33400
2018-07-20,34900,35500,33750,34600,10405,34600
2018-07-19,34750,35850,34000,34900,27504,34900
2018-07-18,35000,35800,33700,33850,21162,33850
2018-07-17,35500,35600,34500,35300,25895,35300
2018-07-16,35000,35450,34650,35350,23387,35350
2018-07-13,33950,34900,33450,34900,36501,34900
2018-07-12,32900,34150,32500,33950,31900,33950
2018-07-11,33200,33200,32200,32900,7871,32900
2018-07-10,32150,33650,32100,32700,15381,32700
2018-07-09,31900,32700,31900,32400,10412,32400
2018-07-06,31950,32200,30650,32200,18652,32200
