Date,Open,High,Low,Close,Volume,Adj_Close
2021-02-05,134000,134000,123500,126000,2593,126000
2021-02-04,115500,133500,111000,129000,17845,129000
2021-02-03,112000,114500,111500,114500,1728,114500
2021-02-02,111500,114500,111000,111000,1913,111000
2021-02-01,110000,113000,108000,111000,2209,111000
2021-01-29,111000,112000,107000,110500,1133,110500
2021-01-28,109000,112000,106500,112000,2918,112000
2021-01-27,111000,111500,109000,110500,1145,110500
2021-01-26,111500,112000,110500,111000,1259,111000
2021-01-25,112000,112000,110000,111500,529,111500
2021-01-22,110500,113000,110500,111000,1982,111000
2021-01-21,109000,112000,109000,110000,2159,110000
2021-01-20,110000,115500,109000,109000,1969,109000
2021-01-19,107000,118000,106500,109000,3324,109000
2021-01-18,107500,112000,105000,106000,3859,106000
2021-01-15,109500,111500,107000,109500,2415,109500
2021-01-14,107500,112000,107500,108500,3602,108500
2021-01-13,106500,108000,104500,107500,1263,107500
2021-01-12,106500,107500,103500,105500,918,105500
2021-01-11,107500,109500,104500,107500,878,107500
2021-01-08,109500,120000,108500,109000,6712,109000
2021-01-07,106000,109000,105000,109000,2635,109000
2021-01-06,102500,106000,102500,105500,4045,105500
2021-01-05,103500,104500,102500,102500,601,102500
2021-01-04,102000,104000,102000,103500,2600,103500
2020-12-30,100500,102500,100000,102000,569,102000
2020-12-29,99600,102500,99600,100500,622,100500
2020-12-28,101000,102500,100000,100500,423,100500
2020-12-24,101000,104500,101000,101000,1692,101000
2020-12-23,102500,103000,100500,101000,1636,101000
