,open,high,low,close,volume,adjclose
2019-11-13,28300,28750,27850,28250,84374,28250
2019-11-12,27800,28650,27150,28400,122264,28400
2019-11-08,28200,28450,27700,28050,75544,28050
2019-11-07,28400,28450,27300,28000,125923,28000
2019-11-06,28650,28900,27900,28300,152257,28300
2019-11-05,29000,29150,28300,28700,121092,28700
2019-11-04,30200,30500,28700,29000,179418,29000
2019-11-01,30100,30800,29350,30000,143421,30000
2019-10-31,30000,30600,29900,30000,78376,30000
2019-10-30,30150,30750,29600,29600,124830,29600
2019-10-29,30350,30700,29500,29850,172255,29850
2019-10-28,31000,31350,29750,30250,308533,30250
2019-10-25,34000,34100,30900,31350,409774,31350
2019-10-24,33500,34150,33200,34100,69217,34100
2019-10-23,34000,34900,33750,33900,89737,33900
2019-10-22,35250,35400,33800,34400,140758,34400
2019-10-21,35200,36550,34700,35200,154740,35200
2019-10-18,35550,35700,34650,35200,119231,35200
2019-10-17,35200,35800,34550,35450,167449,35450
2019-10-16,32550,35000,32550,35000,389393,35000
2019-10-15,32600,32800,31400,32550,135827,32550
2019-10-14,31850,32700,31250,32700,139467,32700
2019-10-11,32800,33200,31700,31800,157720,31800
2019-10-10,32500,33150,32450,32700,106087,32700
2019-10-09,32700,32700,32700,32700,0,32700
2019-10-08,32200,33250,32000,32700,166595,32700
2019-10-07,33450,33900,32300,32550,184329,32550
2019-10-03,31900,31900,31900,31900,0,31900
