,open,high,low,close,volume,adjclose
2019-11-14,12350,12550,11450,11450,262444,11450
2019-11-12,13100,13100,12850,12950,25243,12950
2019-11-08,13000,13250,12850,13100,65626,13100
2019-11-07,12550,12900,12250,12750,103103,12750
2019-11-06,12350,12650,12350,12400,14393,12400
2019-11-05,12750,12750,12200,12350,37282,12350
2019-11-04,12450,12900,12250,12500,33359,12500
2019-11-01,12600,12700,12250,12350,55475,12350
2019-10-31,12850,12850,12400,12600,33500,12600
2019-10-30,13000,13000,12550,12800,32318,12800
2019-10-29,13100,13300,12800,12950,48853,12950
2019-10-28,12800,13250,12800,13250,59590,13250
2019-10-25,13100,13150,12750,12850,50906,12850
2019-10-24,12600,13400,12600,13100,73313,13100
2019-10-23,12700,13000,12550,12650,26957,12650
2019-10-22,12700,12900,12550,12700,47429,12700
2019-10-21,12800,12900,12500,12700,34323,12700
2019-10-18,12800,13150,12650,12800,24989,12800
2019-10-17,13100,13150,12750,12800,34825,12800
2019-10-16,12750,13050,12700,13050,33879,13050
2019-10-15,12750,12850,12600,12700,20787,12700
2019-10-14,12800,12850,12550,12750,34650,12750
2019-10-11,13150,13250,12550,12800,65150,12800
2019-10-10,13000,13300,12850,13100,21733,13100
2019-10-09,13050,13050,13050,13050,0,13050
2019-10-08,12800,13100,12750,13050,35111,13050
2019-10-07,13200,13350,12900,12900,40561,12900
