,open,high,low,close,volume,adjclose
2020-07-29,26500,27400,26200,27300,64733,27300
2020-07-28,26450,26450,25800,26250,27766,26250
2020-07-27,26500,26750,26000,26050,22797,26050
2020-07-24,27000,27050,25650,26350,69418,26350
2020-07-23,27100,27450,26750,27050,29713,27050
2020-07-22,27700,27700,26750,27050,32509,27050
2020-07-21,27400,27650,27200,27500,30783,27500
2020-07-20,27050,27700,27000,27200,34209,27200
2020-07-17,28650,28650,27350,27400,63482,27400
2020-07-16,29400,29400,28150,28450,75809,28450
2020-07-15,28100,29400,27450,28650,153534,28650
2020-07-14,29000,29050,27600,28100,131655,28100
2020-07-13,27300,29200,26650,29000,280360,29000
2020-07-10,26400,26400,25350,25800,45515,25800
2020-07-09,26050,26500,24900,26400,69789,26400
2020-07-08,26200,26950,25900,26000,56736,26000
2020-07-07,26000,27450,25650,26200,160764,26200
2020-07-06,25650,25700,24800,25300,31696,25300
2020-07-02,24800,25700,24550,24750,39433,24750
2020-07-01,26000,26300,24700,24750,41465,24750
2020-06-30,26400,26450,25450,25750,32075,25750
2020-06-29,25350,26450,25350,26050,46161,26050
2020-06-26,26850,27200,25550,26050,57703,26050
2020-06-25,26050,26850,25750,26800,73146,26800
2020-06-24,25250,26800,24950,26400,105961,26400
2020-06-23,25600,26050,24400,25100,101105,25100
2020-06-22,26650,27000,25450,25550,105293,25550
2020-06-19,27000,27250,26050,26300,68889,26300
2020-06-18,26300,28000,25950,27000,171415,27000
