Date,open,high,low,close,volume,adjclose
2018-04-25,3470,3570,3425,3465,140321,3465
2018-01-31,3055,3480,3055,3335,1873382,3335
2018-01-30,3110,3140,3010,3055,219700,3055
2018-01-29,3080,3165,3030,3110,517503,3110
2018-01-26,2990,3070,2955,3070,466398,3070
2018-01-25,2890,3010,2880,2945,230182,2945
2018-01-24,3020,3020,2875,2890,419048,2890
2018-01-23,3025,3025,2905,3000,316306,3000
2018-01-22,2865,3060,2855,3000,540925,3000
2018-01-19,2755,2875,2755,2865,460690,2865
2018-01-18,2790,2800,2730,2755,175182,2755
2018-01-17,2625,2880,2595,2755,529982,2755
2018-01-16,2640,2660,2585,2625,122574,2625
2018-01-15,2655,2685,2600,2640,123711,2640
2018-01-12,2700,2715,2630,2655,141965,2655
2018-01-11,2695,2735,2675,2715,67324,2715
2018-01-10,2710,2750,2680,2695,113702,2695
2018-01-09,2760,2775,2710,2740,115262,2740
2018-01-08,2770,2815,2745,2770,93389,2770
2018-01-05,2810,2835,2730,2765,179337,2765
2018-01-04,2850,2850,2770,2790,88029,2790
2018-01-03,2735,2850,2735,2825,142732,2825
2018-01-02,2700,2780,2680,2740,114205,2740
2017-12-28,2650,2730,2600,2700,90022,2700
2017-12-27,2590,2675,2580,2650,50236,2650
2017-12-26,2750,2750,2600,2630,129192,2630
2017-12-22,2610,2700,2610,2645,70950,2645
2017-12-21,2700,2750,2630,2650,136649,2650
2017-12-19,2840,2840,2720,2720,202519,2720
2017-12-18,2900,2920,2780,2840,138526,2840
