Date,open,high,low,close,volume,adjclose
2018-04-25,4620,4665,4580,4630,18218,4630
2018-01-31,4800,4875,4800,4870,29388,4870
2018-01-30,4835,4890,4825,4860,17104,4860
2018-01-29,4720,4900,4660,4825,45788,4825
2018-01-26,4705,4725,4685,4720,22321,4720
2018-01-25,4690,4720,4665,4705,19905,4705
2018-01-24,4730,4730,4660,4690,12153,4690
2018-01-23,4750,4750,4655,4690,7860,4690
2018-01-22,4690,4700,4605,4700,25010,4700
2018-01-19,4560,4655,4560,4650,16533,4650
2018-01-18,4480,4585,4440,4560,11682,4560
2018-01-17,4420,4490,4420,4480,10345,4480
2018-01-16,4400,4440,4380,4420,11875,4420
2018-01-15,4385,4485,4355,4400,14318,4400
2018-01-12,4515,4515,4380,4410,19699,4410
2018-01-11,4430,4480,4400,4445,20141,4445
2018-01-10,4540,4540,4430,4430,18533,4430
2018-01-09,4540,4565,4465,4485,23250,4485
2018-01-08,4575,4600,4510,4525,32099,4525
2018-01-05,4630,4640,4565,4575,35664,4575
2018-01-04,4740,4740,4620,4640,22579,4640
2018-01-03,4675,4720,4655,4690,11792,4690
2018-01-02,4670,4690,4620,4665,9186,4665
2017-12-28,4635,4680,4625,4660,14937,4660
2017-12-27,4685,4685,4600,4635,3178,4635
2017-12-26,4705,4705,4605,4605,7277,4605
2017-12-22,4645,4695,4605,4620,15077,4620
2017-12-21,4705,4745,4625,4645,24027,4645
2017-12-19,4750,5060,4730,4730,133139,4730
2017-12-18,4720,4740,4660,4720,8076,4720
