,open,high,low,close,volume,adjclose
2020-07-24,12400,12850,12100,12500,1256995,12500
2020-07-23,12000,12350,11850,12250,408207,12250
2020-07-22,12050,12250,11900,11950,266802,11950
2020-07-21,12150,12200,11850,12000,311636,12000
2020-07-20,12350,12450,12000,12100,233664,12100
2020-07-17,12200,12450,12050,12350,272080,12350
2020-07-16,12750,13100,12050,12300,785542,12300
2020-07-15,13150,13350,12600,12700,596294,12700
2020-07-14,12950,13150,12700,12950,657594,12950
2020-07-13,12550,13100,12250,12950,1685059,12950
2020-07-10,11800,12300,11650,12250,754020,12250
2020-07-09,11750,11800,11600,11800,226673,11800
2020-07-08,11350,11700,11350,11650,268745,11650
2020-07-07,11550,11700,11300,11450,220819,11450
2020-07-06,11600,11650,11400,11550,214227,11550
2020-07-02,11150,11250,10850,11150,236641,11150
2020-07-01,11300,11400,11000,11100,252824,11100
2020-06-30,11150,11550,11050,11100,648303,11100
2020-06-29,11200,11250,10700,10800,445350,10800
2020-06-26,11900,11900,11300,11400,389599,11400
2020-06-25,11700,12050,11600,11800,333039,11800
2020-06-24,11500,12150,11400,11950,662604,11950
2020-06-23,11500,11550,11050,11450,343258,11450
2020-06-22,11350,11650,11350,11500,470181,11500
2020-06-19,11300,11350,10950,11250,319169,11250
2020-06-18,11350,11350,11000,11250,115453,11250
2020-06-17,11250,11500,11000,11250,185748,11250
2020-06-16,11200,11500,11100,11450,393315,11450
2020-06-15,11000,11450,10650,10700,563661,10700
2020-06-12,10500,11100,10400,11000,489501,11000
