Date,open,high,low,close,volume,adjclose
2018-08-14,6210,6390,5940,6390,40143,6390
2018-01-31,8090,8090,7990,8050,40686,8050
2018-01-30,8250,8250,8090,8150,23553,8150
2018-01-29,8090,8290,8070,8250,59222,8250
2018-01-26,7920,8110,7920,8080,38493,8080
2018-01-25,7860,7940,7840,7920,33905,7920
2018-01-24,7890,7980,7850,7880,17549,7880
2018-01-23,7830,7970,7830,7890,22548,7890
2018-01-22,7870,8000,7860,7890,11512,7890
2018-01-19,7850,7930,7850,7870,19128,7870
2018-01-18,7660,7920,7660,7880,81028,7880
2018-01-17,7750,7950,7750,7900,35545,7900
2018-01-16,7730,7770,7600,7730,30615,7730
2018-01-15,7830,7890,7730,7730,36624,7730
2018-01-12,7940,7990,7800,7830,44084,7830
2018-01-11,8000,8080,7930,7940,28622,7940
2018-01-10,8060,8080,7990,8020,21673,8020
2018-01-09,8070,8090,8020,8050,20875,8050
2018-01-08,8170,8220,8020,8090,38844,8090
2018-01-05,8250,8270,8150,8200,16831,8200
2018-01-04,8180,8260,8170,8180,20485,8180
2018-01-03,8100,8290,8090,8230,20458,8230
2018-01-02,8110,8200,8010,8190,28197,8190
2017-12-28,8100,8150,7990,7990,23836,7990
2017-12-27,8160,8290,8080,8130,16080,8130
2017-12-26,8230,8340,8160,8200,15849,8200
2017-12-22,8170,8290,8170,8260,9715,8260
2017-12-21,8320,8350,8170,8170,23281,8170
2017-12-19,8330,8410,8260,8320,25035,8320
2017-12-18,8230,8400,8210,8390,17022,8390
