,open,high,low,close,volume,adjclose
2020-06-01,4225,4300,4225,4255,92806,4255
2020-05-29,4170,4280,4155,4250,118975,4250
2020-05-28,4150,4225,4150,4175,65307,4175
2020-05-27,4100,4235,4075,4190,142062,4190
2020-05-26,4100,4145,4060,4105,83382,4105
2020-05-25,4145,4145,4035,4095,85521,4095
2020-05-22,4060,4290,4060,4150,165859,4150
2020-05-21,4070,4120,4060,4060,103122,4060
2020-05-20,4065,4070,4035,4055,9999,4055
2020-05-19,4020,4080,4000,4065,113249,4065
2020-05-18,4070,4070,3995,4045,57365,4045
2020-05-15,4050,4050,3980,4000,40543,4000
