,open,high,low,close,volume,adjclose
2019-11-18,9310,9310,9110,9150,255747,9150
2019-11-14,9370,9450,9140,9150,283933,9150
2019-11-12,9000,9630,8930,9280,1333521,9280
2019-11-08,8870,8910,8710,8750,221344,8750
2019-11-07,8780,8960,8670,8800,324049,8800
2019-11-06,8830,8910,8700,8840,284908,8840
2019-11-05,8700,8980,8700,8830,337486,8830
2019-11-04,8580,8810,8570,8720,316321,8720
2019-11-01,8630,8880,8470,8540,651406,8540
2019-10-31,8120,8640,8100,8520,1112457,8520
2019-10-30,7920,8180,7920,8040,381849,8040
2019-10-29,7710,8100,7650,7910,479384,7910
2019-10-28,7760,7860,7700,7710,194729,7710
2019-10-25,7850,7940,7690,7780,253689,7780
2019-10-24,7480,7970,7400,7910,581596,7910
2019-10-23,7630,7630,7420,7480,203549,7480
2019-10-22,7700,7700,7500,7610,234920,7610
2019-10-21,7380,7570,7370,7470,229959,7470
2019-10-18,7500,7670,7350,7490,293720,7490
2019-10-17,7740,7830,7620,7670,162955,7670
2019-10-16,7550,7900,7550,7690,483395,7690
2019-10-15,7350,7610,7350,7600,255190,7600
2019-10-14,7580,7580,7350,7430,467025,7430
2019-10-11,7260,7700,7180,7590,706855,7590
2019-10-10,7380,7380,7150,7210,266093,7210
2019-10-09,7070,7070,7070,7070,0,7070
2019-10-08,6910,7250,6900,7070,299937,7070
