,open,high,low,close,volume,adjclose
2019-11-18,39200,39950,38800,39650,283617,39650
2019-11-15,39400,39500,38550,39100,137021,39100
2019-11-14,37100,39400,37050,39400,258841,39400
2019-11-13,38000,38300,36900,36950,193036,36950
2019-11-12,39300,39300,37950,38500,178638,38500
2019-11-11,38300,39500,38250,39400,275477,39400
2019-11-08,38400,39500,37900,38150,222197,38150
2019-11-07,38300,38500,37600,38350,123142,38350
2019-11-06,38200,38800,38150,38300,186258,38300
2019-11-05,38150,38550,37600,38450,171741,38450
2019-11-04,37900,38300,37400,37800,177159,37800
2019-11-01,37100,37700,36750,37400,163793,37400
2019-10-31,37200,37450,36400,37100,228730,37100
2019-10-30,36200,38350,36050,37050,825707,37050
2019-10-29,35600,35950,35050,35700,218014,35700
2019-10-28,35450,35950,35150,35400,153589,35400
2019-10-25,36100,36200,35050,35300,183774,35300
2019-10-24,35600,36000,34950,36000,225794,36000
2019-10-23,35650,35700,34950,35700,130633,35700
2019-10-22,35000,35700,34650,35650,202011,35650
2019-10-21,35400,35650,34750,34750,148016,34750
2019-10-18,36300,36450,35150,35300,160072,35300
2019-10-17,36150,36550,35750,36000,189903,36000
2019-10-16,37000,37350,35450,35650,520837,35650
2019-10-15,36900,39000,36700,37150,853481,37150
2019-10-14,34500,39550,34500,37250,1434903,37250
2019-10-11,34700,35350,34350,34450,95635,34450
2019-10-10,34750,35000,34250,34300,96042,34300
2019-10-09,35050,35050,35050,35050,0,35050
2019-10-08,35050,35350,34200,35050,181096,35050
