,open,high,low,close,volume,adjclose
2019-12-24,5670,5670,5490,5600,60109,5600
2019-12-23,5700,5760,5610,5680,18694,5680
2019-12-20,5780,5780,5660,5700,26704,5700
2019-12-19,5780,5810,5700,5760,13942,5760
2019-12-18,5750,5780,5690,5780,24062,5780
2019-12-17,5730,5780,5670,5730,24398,5730
2019-12-16,5670,5790,5670,5760,53310,5760
2019-12-13,5680,5700,5650,5670,20393,5670
2019-12-12,5660,5730,5560,5680,27798,5680
2019-12-11,5580,5680,5540,5660,29105,5660
2019-12-10,5650,5650,5550,5620,10210,5620
2019-12-09,5640,5670,5580,5650,13066,5650
2019-12-06,5530,5740,5500,5640,28061,5640
2019-12-05,5550,5610,5410,5540,110490,5540
2019-12-04,5680,5700,5560,5620,34332,5620
2019-12-03,5600,5740,5580,5680,35166,5680
2019-12-02,5720,5770,5610,5700,33015,5700
2019-11-29,5920,6000,5710,5730,57317,5730
2019-11-27,6070,6070,5910,5990,49746,5990
2019-11-26,5880,6050,5850,5990,69876,5990
2019-11-25,5800,5880,5790,5860,25022,5860
2019-11-22,5800,5880,5750,5800,32309,5800
2019-11-21,5890,5990,5750,5880,68220,5880
2019-11-20,6060,6100,5900,6000,45641,6000
2019-11-19,6030,6100,5980,6060,39909,6060
2019-11-18,6020,6100,6010,6030,44892,6030
2019-11-14,6120,6190,6080,6140,60568,6140
2019-11-13,6120,6170,6070,6130,51146,6130
2019-11-12,6000,6170,6000,6150,123414,6150
