Date,Open,High,Low,Close,Volume,Adj_Close
2020-04-10,11300,12600,11050,12150,672916,12150
2020-03-12,12050,12050,12050,12050,0,12050
2020-03-11,12550,12700,11800,12050,200124,12050
2020-03-10,12250,12700,12200,12600,253788,12600
2020-03-09,13300,13300,13300,13300,0,13300
2020-03-06,13400,13550,13000,13300,192291,13300
2020-03-05,13750,13750,13350,13650,187203,13650
2020-03-04,12700,13500,12700,13500,247413,13500
2020-03-03,12600,13300,12550,12750,513196,12750
2020-03-02,11850,12150,11550,12000,260108,12000
