,open,high,low,close,volume,adjclose
2019-11-13,10300,10450,10200,10400,158591,10400
2019-11-12,10200,10350,10050,10350,255749,10350
2019-11-08,10050,10100,9980,9980,112954,9980
2019-11-07,10050,10100,9920,10050,141565,10050
2019-11-06,9890,10100,9890,10050,258120,10050
2019-11-05,9950,10000,9860,9920,153412,9920
2019-11-04,9980,9980,9840,9950,179796,9950
2019-11-01,9980,9980,9720,9830,212797,9830
2019-10-31,9940,10050,9920,9950,130683,9950
2019-10-30,9970,10050,9860,9930,208536,9930
2019-10-29,10050,10150,9990,10000,103987,10000
2019-10-28,10100,10150,9980,10000,184672,10000
2019-10-25,10250,10250,10050,10050,141792,10050
2019-10-24,10100,10250,10050,10250,118040,10250
2019-10-23,10400,10400,10100,10150,129083,10150
2019-10-22,10350,10450,10150,10400,186187,10400
2019-10-21,10500,10650,10350,10350,139458,10350
2019-10-18,10300,10500,10200,10500,198982,10500
2019-10-17,10250,10350,10200,10250,136064,10250
2019-10-16,10350,10500,10200,10300,147287,10300
2019-10-15,10250,10450,10200,10350,146329,10350
2019-10-14,10150,10250,10050,10250,195261,10250
2019-10-11,10050,10150,9980,10050,188857,10050
2019-10-10,10150,10200,9970,9990,261757,9990
2019-10-09,10300,10300,10300,10300,0,10300
2019-10-08,10100,10300,9870,10300,249315,10300
2019-10-07,10300,10450,10000,10100,261840,10100
2019-10-03,10550,10550,10550,10550,0,10550
