,open,high,low,close,volume,adjclose
2019-11-18,10650,11150,10650,10800,220315,10800
2019-11-14,10450,10900,10450,10900,161394,10900
2019-11-13,10600,10800,10350,10500,138590,10500
2019-11-12,10550,10850,10500,10600,152263,10600
2019-11-08,11250,11450,10900,11000,548248,11000
2019-11-07,11850,11850,11050,11250,565832,11250
2019-11-06,11650,12300,11200,11650,1517255,11650
2019-11-05,11550,11600,11250,11400,395064,11400
2019-11-04,11400,11650,11250,11500,345706,11500
2019-11-01,11900,12150,11300,11500,803083,11500
2019-10-31,11700,12250,11450,11750,1110361,11750
2019-10-30,12000,12950,11450,11850,2434049,11850
2019-10-29,14150,14450,11500,12150,5254734,12150
2019-10-28,9410,12200,9410,12200,2651884,12200
2019-10-25,10200,10200,9400,9410,153966,9410
2019-10-24,9810,10100,9760,9960,125540,9960
2019-10-23,9770,10050,9640,9910,162226,9910
2019-10-22,9640,9930,9640,9860,192312,9860
2019-10-21,10050,10100,9560,9640,309459,9640
2019-10-18,10150,10600,10100,10100,333795,10100
2019-10-17,10500,10700,10150,10200,378927,10200
2019-10-16,10350,10800,10250,10450,661540,10450
2019-10-15,10350,10450,10150,10200,171049,10200
2019-10-14,10150,10550,10100,10250,300212,10250
2019-10-11,10250,10450,10050,10150,228864,10150
2019-10-10,10500,10750,10150,10200,332166,10200
2019-10-09,10500,10500,10500,10500,0,10500
2019-10-08,10250,10900,10250,10500,407635,10500
