Date,Open,High,Low,Close,Volume,Adj_Close
2019-09-11,52000,52300,51600,52200,1266,52200
2019-09-09,50800,51300,50100,51300,3968,51300
2019-09-06,51200,51200,50200,50500,1298,50500
2019-09-05,51700,51700,50200,51400,6614,51400
2019-09-04,51600,51600,50700,51600,1150,51600
2019-09-02,51000,51200,50000,51100,1097,51100
2019-08-30,49450,50900,49450,50500,1816,50500
2019-08-29,49250,50000,48600,50000,855,50000
2019-08-28,48900,49650,48500,49200,1307,49200
2019-08-27,49000,49450,48500,48850,1493,48850
2019-08-26,48600,49350,48450,48950,2590,48950
2019-08-23,51600,51600,48850,49350,13250,49350
2019-08-22,51600,51600,50600,51300,1792,51300
2019-08-21,53600,54100,51100,51200,8832,51200
2019-08-20,53400,54000,53200,53200,5145,53200
2019-08-19,53000,53400,51600,53200,3565,53200
2019-08-16,52600,52800,51200,52600,1477,52600
2019-08-14,52000,52600,50700,52600,2734,52600
2019-08-13,51400,51600,50100,51600,2323,51600
2019-08-12,51000,51500,50400,51400,6239,51400
2019-08-09,49950,51200,49950,50900,2306,50900
2019-08-08,49000,49900,49000,49800,1480,49800
2019-08-07,46800,49800,46800,49000,2014,49000
2019-08-06,48700,48900,45000,47800,5433,47800
2019-08-05,50000,51300,48950,49100,6177,49100
2019-08-01,51500,51900,50600,51100,3998,51100
2019-07-31,52500,53000,51300,51900,3440,51900
2019-07-30,52000,53400,52000,53000,2880,53000
