Date,Open,High,Low,Close,Volume,Adj Close
2018-11-01,722,736,718,723,45366,723
2018-10-31,709,718,698,714,45951,714
2018-10-30,701,730,678,711,77886,711
2018-10-29,735,748,704,710,180974,710
2018-10-26,750,750,734,740,221821,740
2018-10-25,760,761,741,741,265742,741
2018-10-24,772,790,762,769,149294,769
2018-10-23,798,802,778,779,124539,779
2018-10-22,788,800,786,794,54573,794
2018-10-19,780,794,777,788,96234,788
2018-10-18,792,800,782,791,47209,791
2018-10-17,789,813,779,792,88451,792
2018-10-16,778,791,778,790,47579,790
2018-10-15,776,790,776,778,47125,778
2018-10-12,762,781,762,776,99508,776
2018-10-11,774,794,762,762,161612,762
2018-10-10,812,816,794,798,265270,798
2018-10-08,823,823,808,811,75620,811
2018-10-05,811,825,808,819,113398,819
2018-10-04,817,830,804,811,253470,811
2018-10-02,826,838,810,816,176844,816
2018-10-01,829,835,821,831,58239,831
2018-09-28,835,841,825,829,116948,829
2018-09-27,830,843,821,835,65183,835
2018-09-21,809,832,809,825,75677,825
2018-09-20,828,836,809,810,249170,810
2018-09-19,837,837,818,830,86328,830
2018-09-18,830,841,828,830,277513,830
2018-09-17,846,852,833,835,153446,835
2018-09-14,870,870,842,853,93519,853
