,open,high,low,close,volume,adjclose
2019-11-14,3450,3460,3405,3440,15271,3440
2019-11-13,3420,3445,3390,3440,16414,3440
2019-11-12,3435,3450,3395,3420,37636,3420
2019-11-08,3465,3485,3430,3470,10974,3470
2019-11-07,3485,3490,3455,3465,19141,3465
2019-11-06,3470,3500,3455,3490,22143,3490
2019-11-05,3465,3495,3460,3470,24346,3470
2019-11-04,3495,3495,3450,3470,9585,3470
2019-11-01,3425,3495,3415,3465,27747,3465
2019-10-31,3500,3500,3440,3460,49756,3460
2019-10-30,3475,3475,3415,3450,38268,3450
2019-10-29,3480,3500,3400,3475,51651,3475
2019-10-28,3525,3550,3455,3485,59223,3485
2019-10-25,3320,3465,3315,3465,37016,3465
2019-10-24,3350,3450,3285,3340,38605,3340
2019-10-23,3350,3395,3325,3345,26840,3345
2019-10-22,3445,3465,3395,3400,23706,3400
2019-10-21,3420,3450,3390,3450,28471,3450
2019-10-18,3445,3480,3410,3420,31954,3420
2019-10-17,3495,3500,3430,3435,31364,3435
2019-10-16,3515,3515,3415,3430,32502,3430
2019-10-15,3420,3500,3400,3500,16780,3500
2019-10-14,3375,3450,3375,3420,34604,3420
2019-10-11,3415,3415,3350,3400,16641,3400
2019-10-10,3410,3410,3350,3355,19021,3355
2019-10-09,3410,3410,3410,3410,0,3410
2019-10-08,3415,3430,3390,3410,14697,3410
2019-10-07,3485,3520,3390,3415,31905,3415
