date,open,high,low,close,volume,adjclose
2020-12-28,5770,5920,5680,5800,47266,5800
2020-12-24,5600,5730,5570,5720,44467,5720
2020-12-23,5560,5670,5500,5600,26093,5600
2020-12-22,5600,5690,5550,5560,25264,5560
2020-12-21,5690,5730,5580,5600,28853,5600
2020-12-18,5640,5680,5590,5600,27785,5600
2020-12-17,5540,5600,5490,5600,10203,5600
2020-12-16,5550,5640,5480,5540,27723,5540
2020-12-15,5630,5630,5480,5600,30152,5600
2020-12-14,5900,5900,5600,5640,37665,5640
2020-12-11,5690,5840,5600,5690,39752,5690
2020-12-10,5710,5710,5600,5680,28551,5680
2020-12-09,5840,5930,5510,5700,103555,5700
2020-12-08,5670,5940,5590,5830,139218,5830
2020-12-07,5350,5670,5300,5600,180376,5600
2020-12-04,5200,5500,5160,5350,151000,5350
2020-12-03,4995,5170,4960,5170,67283,5170
2020-12-02,4950,5010,4950,4990,25337,4990
2020-12-01,4980,5000,4960,4980,30383,4980
2020-11-30,5000,5000,4940,4980,13894,4980
2020-11-27,4945,5030,4940,4990,26858,4990
2020-11-25,5060,5060,4940,4985,52770,4985
2020-11-24,5000,5070,4980,4980,28371,4980
2020-11-23,5030,5030,4985,4995,17668,4995
2020-11-20,5010,5100,4960,5030,19762,5030
2020-11-19,5030,5120,5000,5040,27875,5040
2020-11-18,4955,5140,4955,5080,54065,5080
2020-11-17,4925,5100,4800,5000,99602,5000
2020-11-16,4800,4925,4710,4925,74724,4925
2020-11-13,4610,4680,4605,4680,20349,4680
