Date,Open,High,Low,Close,Volume,Adj_Close
2020-08-12,21850,21850,21300,21350,94316,21350
2020-08-11,21700,22100,21650,21850,86703,21850
2020-08-10,21800,22000,21650,21850,74513,21850
2020-08-07,21700,21850,21550,21700,71771,21700
2020-08-06,21600,21900,21500,21700,107190,21700
2020-08-05,21800,22000,21650,21700,108099,21700
2020-08-04,21850,22400,21800,22050,105549,22050
2020-08-03,22650,22650,21700,21900,111167,21900
2020-07-31,22800,23250,22300,22350,363170,22350
2020-07-30,21800,22750,21650,22500,349732,22500
2020-07-29,21750,22000,21600,21750,69265,21750
2020-07-28,22300,22350,21700,21750,87793,21750
2020-07-27,21850,22300,21850,22200,173706,22200
2020-07-24,21500,22150,21350,21800,210464,21800
2020-07-23,21450,21700,21300,21500,84038,21500
2020-07-22,21400,22000,21150,21400,172317,21400
2020-07-21,21100,21500,21100,21300,69106,21300
2020-07-20,21250,21600,21100,21150,91806,21150
2020-07-17,20900,21300,20850,21250,46369,21250
2020-07-16,21100,21150,20900,20900,45885,20900
2020-07-15,21250,21250,20850,20950,68751,20950
2020-07-14,21000,21300,20850,20950,44781,20950
2020-07-13,21250,21300,21000,21100,45269,21100
2020-07-10,21300,21550,20950,21050,91179,21050
2020-07-09,21600,21700,21450,21500,38124,21500
2020-07-08,21600,21650,21200,21600,67677,21600
2020-07-07,21600,21950,21400,21450,70400,21450
2020-07-06,21700,21850,21200,21800,71727,21800
2020-07-03,21250,21800,21250,21400,60168,21400
2020-07-02,21100,21400,21000,21250,34546,21250
