Date,Open,High,Low,Close,Volume,Adj_Close
2021-04-13,102000,111000,101500,107500,907031,107500
2021-04-12,104500,106500,101500,103500,732235,103500
2021-04-09,99700,101500,97900,99900,609668,99900
2021-04-08,95800,98700,94700,98400,1190539,98400
2021-04-07,91000,96200,90300,94400,914639,94400
2021-04-06,91600,92300,89800,91000,351822,91000
2021-04-05,90000,91700,88900,91500,375064,91500
2021-04-02,86200,90000,85800,89900,668505,89900
2021-04-01,85900,86600,85200,85600,222301,85600
2021-03-31,85700,87500,85400,85600,389601,85600
2021-03-30,86300,86900,85500,85800,240175,85800
2021-03-29,86300,86900,85300,86100,220634,86100
2021-03-26,86700,87000,86200,86800,153128,86800
2021-03-25,84600,86400,84500,86300,181616,86300
2021-03-24,85800,86300,84900,85100,228878,85100
2021-03-23,87200,87600,86100,86500,197816,86500
2021-03-22,87800,88000,86300,86800,188476,86800
2021-03-19,86200,88100,86000,87500,281709,87500
2021-03-18,86700,88500,86500,87500,263581,87500
2021-03-17,87100,87700,85600,86400,193402,86400
2021-03-16,87300,88000,86700,87200,164464,87200
2021-03-15,87300,88300,86200,86900,210621,86900
2021-03-12,87300,88000,86600,87300,250534,87300
2021-03-11,84500,87300,83500,86300,455000,86300
2021-03-10,85800,86000,83100,84000,284946,84000
2021-03-09,86300,86700,82200,84600,469273,84600
2021-03-08,87900,88000,85500,85500,357649,85500
2021-03-05,86900,87500,85500,86300,358492,86300
2021-03-04,88100,89500,87300,88200,327506,88200
2021-03-03,87600,89600,86700,89500,369778,89500
