,open,high,low,close,volume,adjclose
2019-11-14,35100,37550,34850,37000,84933,37000
2019-11-13,35750,35950,34650,34700,25278,34700
2019-11-12,36350,36450,35400,35750,19859,35750
2019-11-08,35950,37000,35800,36550,31916,36550
2019-11-07,36150,36500,35350,35800,17241,35800
2019-11-06,35900,36500,35900,36450,24315,36450
2019-11-05,35800,36550,35650,35900,15296,35900
2019-11-04,35700,36150,35150,35950,30224,35950
2019-11-01,35000,35200,34300,34850,11380,34850
2019-10-31,35300,35850,34250,35050,34276,35050
2019-10-30,35050,35650,34600,35300,26840,35300
2019-10-29,36000,36100,35050,35300,32358,35300
2019-10-28,34850,36050,34800,35800,47427,35800
2019-10-25,34950,34950,34250,34850,27551,34850
2019-10-24,34500,35500,34100,34350,55388,34350
2019-10-23,33450,33900,33250,33700,17139,33700
2019-10-22,34050,34450,33000,33450,28865,33450
2019-10-21,34200,34400,33700,34000,14945,34000
2019-10-18,33250,34800,33250,34200,36413,34200
2019-10-17,33950,33950,33100,33550,17645,33550
2019-10-16,33300,33700,33050,33650,17274,33650
2019-10-15,34200,34200,32700,33000,50233,33000
2019-10-14,34600,34600,33700,33900,14580,33900
2019-10-11,33700,34500,33400,33750,20243,33750
2019-10-10,34450,34650,33850,33850,28269,33850
2019-10-09,35000,35000,35000,35000,0,35000
2019-10-08,31900,35000,31900,35000,66977,35000
2019-10-07,33300,33300,32050,32100,20734,32100
