Date,Open,High,Low,Close,Volume,Adj Close
2018-10-24,27900,28450,27600,27850,18663,27850
2018-10-23,28350,28700,27550,27900,43053,27900
2018-10-22,29100,29650,28450,28700,25506,28700
2018-10-19,31200,31550,29550,29650,42161,29650
2018-10-18,29000,31450,29000,31450,44140,31450
2018-10-17,29600,29800,28400,29400,17265,29400
2018-10-16,28550,29000,28250,28950,12017,28950
2018-10-15,28550,28950,28200,28550,16423,28550
2018-10-12,27450,29200,27450,28850,33559,28850
2018-10-11,28200,29450,28000,28450,57580,28450
2018-10-10,30200,30700,29550,29950,38583,29950
2018-10-08,30500,30750,30300,30600,16265,30600
2018-10-05,30100,30950,30100,30600,14849,30600
2018-10-04,31550,31550,30600,30700,18444,30700
2018-10-02,30850,31350,30800,31100,14010,31100
2018-10-01,31450,31500,30750,31250,18829,31250
2018-09-28,31550,31550,31000,31150,10075,31150
2018-09-27,30600,31500,30600,31150,21325,31150
2018-09-21,31350,31350,30600,30600,24944,30600
2018-09-20,31000,31650,30800,30900,18738,30900
2018-09-19,32100,32100,31000,31000,28870,31000
2018-09-18,32400,32400,31550,32100,20473,32100
2018-09-17,33500,33650,32400,32400,20893,32400
2018-09-14,33000,33750,32900,33550,27279,33550
2018-09-13,33100,33100,32600,32900,19200,32900
2018-09-12,32300,33150,32250,32800,32962,32800
2018-09-11,31950,32500,31600,32300,24740,32300
2018-09-10,31100,32000,30600,31900,24860,31900
2018-09-07,30750,31100,30500,30900,21653,30900
2018-09-06,31550,31550,30500,30700,31830,30700
