Date,Open,High,Low,Close,Volume,Adj Close
2018-09-28,1155,1160,1140,1150,1045100,1150
2018-09-21,1110,1155,1105,1145,739706,1145
2018-09-20,1130,1145,1100,1105,745266,1105
2018-09-19,1165,1180,1125,1130,730802,1130
2018-09-18,1155,1185,1150,1155,1035906,1155
2018-09-17,1175,1175,1140,1150,727329,1150
2018-09-14,1170,1200,1165,1175,1085020,1175
2018-09-13,1175,1195,1150,1175,1442697,1175
2018-09-12,1140,1175,1120,1175,2574590,1175
2018-09-11,1115,1145,1100,1140,1175963,1140
2018-09-10,1090,1110,1070,1105,456407,1105
2018-09-07,1110,1110,1080,1085,456965,1085
2018-09-06,1110,1115,1090,1110,429233,1110
2018-09-05,1125,1130,1105,1115,388368,1115
2018-09-04,1120,1130,1110,1125,418462,1125
2018-09-03,1110,1125,1105,1120,331786,1120
2018-08-31,1120,1145,1110,1110,623283,1110
2018-08-30,1080,1130,1075,1120,758790,1120
2018-08-29,1080,1085,1070,1085,244446,1085
2018-08-28,1095,1095,1070,1080,288478,1080
2018-08-27,1105,1110,1075,1085,557054,1085
2018-08-24,1110,1110,1090,1105,334070,1105
2018-08-23,1110,1115,1100,1110,273038,1110
2018-08-22,1115,1120,1095,1100,253576,1100
2018-08-21,1110,1120,1100,1105,425403,1105
2018-08-20,1095,1110,1095,1110,194882,1110
2018-08-17,1060,1120,1060,1090,483883,1090
2018-08-16,1045,1075,1040,1070,324099,1070
2018-08-14,1050,1075,1050,1055,225798,1055
2018-08-13,1085,1100,1050,1055,396865,1055
