,open,high,low,close,volume,adjclose
2019-11-14,3930,3990,3930,3955,9706,3955
2019-11-13,3970,3970,3900,3960,24301,3960
2019-11-12,3965,4000,3930,3970,11211,3970
2019-11-08,3975,3990,3940,3950,13537,3950
2019-11-07,3965,3965,3890,3960,25095,3960
2019-11-06,3960,3965,3910,3965,9790,3965
2019-11-05,3970,3985,3870,3970,53806,3970
2019-11-04,3980,3980,3945,3970,12250,3970
2019-11-01,3985,3990,3900,3980,20102,3980
2019-10-31,3960,3960,3905,3960,9827,3960
2019-10-30,3945,3960,3910,3960,7402,3960
2019-10-29,3935,3960,3910,3960,30391,3960
2019-10-28,3935,3940,3895,3935,14066,3935
2019-10-25,3905,3975,3900,3935,12164,3935
2019-10-24,3920,3960,3905,3905,14555,3905
2019-10-23,3940,4000,3915,3975,6081,3975
2019-10-22,3945,4050,3920,3950,19120,3950
2019-10-21,3940,3985,3885,3945,28175,3945
2019-10-18,3985,4000,3950,3990,12938,3990
2019-10-17,4045,4045,3950,3985,10228,3985
2019-10-16,3950,4050,3910,4045,18973,4045
2019-10-15,3880,3950,3860,3935,32173,3935
2019-10-14,3890,3920,3880,3880,26999,3880
2019-10-11,3960,3980,3880,3880,33294,3880
2019-10-10,3975,3985,3900,3960,22836,3960
2019-10-09,3975,3975,3975,3975,0,3975
2019-10-08,3985,3985,3930,3975,11141,3975
2019-10-07,4000,4000,3905,3950,17264,3950
