Date,Open,High,Low,Close,Volume,Adj Close
2019-01-03,1915,1995,1900,1900,478701,1900
2018-01-31,2355,2400,2325,2340,266909,2340
2018-01-30,2300,2405,2280,2355,618561,2355
2018-01-29,2335,2335,2270,2300,342135,2300
2018-01-26,2310,2325,2255,2310,250453,2310
2018-01-25,2310,2330,2285,2310,181063,2310
2018-01-24,2275,2315,2235,2310,235664,2310
2018-01-23,2260,2325,2250,2285,402772,2285
2018-01-22,2175,2265,2160,2260,357577,2260
2018-01-19,2200,2220,2160,2175,213204,2175
2018-01-18,2155,2205,2140,2195,315442,2195
2018-01-17,2105,2185,2095,2140,328297,2140
2018-01-16,2095,2120,2070,2100,180087,2100
2018-01-15,2110,2120,2085,2095,184844,2095
2018-01-12,2130,2145,2090,2125,248171,2125
2018-01-11,2140,2150,2100,2125,384899,2125
2018-01-10,2110,2130,2085,2125,189641,2125
2018-01-09,2150,2155,2085,2115,250333,2115
2018-01-08,2105,2160,2085,2140,270893,2140
2018-01-05,2065,2120,2050,2120,309247,2120
2018-01-04,2090,2105,2065,2065,404711,2065
2018-01-03,2080,2095,2060,2075,601222,2075
