,open,high,low,close,volume,adjclose
2019-12-24,7200,7200,7000,7100,13721,7100
2019-12-23,7260,7330,7170,7170,10291,7170
2019-12-20,7230,7290,7150,7230,17258,7230
2019-12-19,7400,7420,7200,7200,37409,7200
2019-12-18,7380,7500,7250,7370,57370,7370
2019-12-17,7400,7400,7270,7330,14271,7330
2019-12-16,7390,7390,7210,7380,15279,7380
2019-12-13,7290,7340,7240,7300,17787,7300
2019-12-12,7220,7300,7200,7240,16484,7240
2019-12-11,7190,7240,7130,7230,13320,7230
2019-12-10,7060,7250,7060,7200,16074,7200
2019-12-09,6920,7180,6900,7150,18062,7150
2019-12-06,6650,6950,6650,6920,24643,6920
2019-12-05,6930,7010,6730,6780,40787,6780
2019-12-04,6950,7070,6930,6950,11217,6950
2019-12-03,6920,7070,6820,7020,15196,7020
2019-12-02,7140,7140,6970,7000,11354,7000
2019-11-29,7150,7150,6990,7020,30264,7020
2019-11-27,7250,7350,7170,7190,20878,7190
2019-11-26,7300,7350,7260,7270,11111,7270
2019-11-25,7200,7340,7200,7280,12954,7280
2019-11-22,7190,7350,7040,7200,33540,7200
2019-11-21,7300,7320,7030,7140,45656,7140
2019-11-20,7650,7650,7250,7400,48627,7400
2019-11-19,7760,7760,7520,7570,38186,7570
2019-11-18,7780,7800,7670,7680,13837,7680
2019-11-14,7690,7810,7660,7800,15218,7800
2019-11-13,7770,7770,7650,7700,26208,7700
2019-11-12,7900,7900,7680,7770,26886,7770
