,open,high,low,close,volume,adjclose
2019-11-13,3610,3650,3610,3635,109872,3635
2019-11-12,3590,3655,3580,3640,230395,3640
2019-11-08,3580,3630,3580,3620,109633,3620
2019-11-07,3590,3620,3565,3565,84345,3565
2019-11-06,3555,3630,3550,3600,119475,3600
2019-11-05,3550,3625,3550,3580,76139,3580
2019-11-04,3475,3585,3460,3585,224907,3585
2019-11-01,3455,3500,3430,3475,113717,3475
2019-10-31,3430,3520,3430,3465,147193,3465
2019-10-30,3515,3530,3440,3455,188647,3455
2019-10-29,3560,3605,3505,3530,125708,3530
2019-10-28,3480,3585,3480,3560,194554,3560
2019-10-25,3510,3510,3445,3485,101375,3485
2019-10-24,3445,3495,3400,3490,258974,3490
2019-10-23,3485,3510,3415,3445,280494,3445
2019-10-22,3555,3585,3455,3505,300907,3505
2019-10-21,3540,3570,3510,3530,163804,3530
2019-10-18,3655,3660,3545,3545,162322,3545
2019-10-17,3655,3680,3595,3635,109126,3635
2019-10-16,3595,3655,3575,3655,130117,3655
2019-10-15,3535,3590,3530,3580,93202,3580
2019-10-14,3535,3590,3500,3525,202230,3525
2019-10-11,3515,3535,3480,3500,74600,3500
2019-10-10,3455,3515,3440,3505,131567,3505
2019-10-09,3485,3485,3485,3485,0,3485
2019-10-08,3420,3525,3420,3485,203775,3485
2019-10-07,3580,3600,3445,3465,222989,3465
2019-10-03,3660,3660,3660,3660,0,3660
