,open,high,low,close,volume,adjclose
2019-11-18,3445,3510,3440,3480,89038,3480
2019-11-14,3530,3570,3420,3450,242202,3450
2019-11-13,3535,3665,3475,3505,423322,3505
2019-11-12,3560,3565,3480,3510,214083,3510
2019-11-08,3395,3525,3300,3380,480604,3380
2019-11-07,3185,3800,3145,3400,4131261,3400
2019-11-06,3220,3220,3120,3200,173642,3200
2019-11-05,3080,3540,3040,3200,1903768,3200
2019-11-04,3050,3090,3020,3080,79331,3080
2019-11-01,3015,3070,3000,3050,45845,3050
2019-10-31,3000,3090,3000,3020,43724,3020
2019-10-30,3060,3065,2930,2995,115494,2995
2019-10-29,3165,3390,3020,3060,691125,3060
2019-10-28,3015,3350,2985,3250,932814,3250
2019-10-25,3040,3095,2950,2975,70425,2975
2019-10-24,3055,3055,2980,3000,64024,3000
2019-10-23,2925,3180,2890,3030,374038,3030
2019-10-22,2875,2950,2870,2945,50053,2945
2019-10-21,2940,2975,2855,2890,47324,2890
2019-10-18,3005,3035,2935,2940,28377,2940
2019-10-17,2975,3000,2925,3000,49040,3000
2019-10-16,2975,3010,2930,2935,44849,2935
2019-10-15,2910,2955,2880,2930,36370,2930
2019-10-14,2875,2930,2845,2910,74536,2910
2019-10-11,2870,2905,2845,2865,33546,2865
2019-10-10,2870,2895,2835,2865,35605,2865
2019-10-09,2865,2865,2865,2865,0,2865
2019-10-08,2910,2965,2850,2865,77101,2865
