,open,high,low,close,volume,adjclose
2019-11-14,18200,18200,17750,18000,8480,18000
2019-11-13,18000,18200,17900,18000,9554,18000
2019-11-12,17750,18050,17500,18000,14987,18000
2019-11-08,17800,17800,17350,17450,16931,17450
2019-11-07,17300,17700,17300,17300,21593,17300
2019-11-06,17500,17800,17450,17500,7412,17500
2019-11-05,17300,17700,17300,17650,7143,17650
2019-11-04,17300,17800,17300,17600,15758,17600
2019-11-01,17250,17500,17000,17500,11552,17500
2019-10-31,17450,18200,17000,17150,34873,17150
2019-10-30,17800,18000,17450,17600,18413,17600
2019-10-29,18800,18800,17950,17950,13008,17950
2019-10-28,17500,18550,17500,18450,19586,18450
2019-10-25,17550,17900,17250,17750,13317,17750
2019-10-24,17250,17500,16900,17500,24009,17500
2019-10-23,17500,17600,17200,17400,14403,17400
2019-10-22,17750,17850,17250,17400,33248,17400
2019-10-21,17700,17950,17150,17900,27729,17900
2019-10-18,17850,18150,17550,17700,11987,17700
2019-10-16,18400,18550,18250,18350,16213,18350
2019-10-15,17900,18500,17750,18450,11929,18450
2019-10-14,17550,18200,17450,17900,12451,17900
2019-10-11,17600,17900,17450,17450,10246,17450
2019-10-10,17350,17750,17350,17750,10066,17750
2019-10-09,17600,17600,17600,17600,0,17600
2019-10-08,17450,18000,17300,17600,15399,17600
2019-10-07,17700,18000,17300,17600,14456,17600
