date,open,high,low,close,volume,adjclose
2021-01-20,4710,4785,4710,4735,116025,4735
2021-01-19,4715,4725,4700,4715,135085,4715
2021-01-18,4755,4770,4710,4715,125168,4715
2021-01-15,4760,4790,4745,4755,114519,4755
2021-01-14,4760,4780,4760,4760,74886,4760
2021-01-13,4780,4800,4750,4770,203451,4770
2021-01-12,4800,4800,4760,4770,103163,4770
2021-01-11,4795,4805,4770,4800,201189,4800
2021-01-08,4805,4815,4790,4800,155839,4800
2021-01-07,4800,4830,4795,4805,203449,4805
2021-01-06,4800,4825,4795,4800,237376,4800
2021-01-05,4785,4820,4785,4800,235104,4800
2021-01-04,4800,4825,4785,4795,299086,4795
2020-12-30,4810,4810,4780,4805,123658,4805
2020-12-29,4800,4835,4795,4810,62614,4810
2020-12-28,4820,4820,4780,4810,187228,4810
2020-12-24,4795,4810,4790,4800,228014,4800
2020-12-23,4815,4825,4795,4795,120416,4795
2020-12-22,4830,4830,4800,4810,97417,4810
2020-12-21,4835,4835,4810,4825,184692,4825
2020-12-18,4875,4875,4815,4825,230311,4825
2020-12-17,4875,4875,4830,4835,66596,4835
2020-12-16,4890,4890,4855,4855,42885,4855
2020-12-15,4890,4890,4840,4870,174693,4870
2020-12-14,4900,4900,4845,4885,222633,4885
2020-12-11,4755,4895,4755,4895,667127,4895
2020-12-10,4790,4795,4760,4785,238932,4785
2020-12-09,4790,4790,4765,4785,63205,4785
2020-12-08,4770,4785,4750,4785,60907,4785
2020-12-07,4790,4790,4740,4775,177581,4775
