Date,Open,High,Low,Close,Volume,Adj_Close
2019-06-19,1870,1915,1860,1910,281010,1910
2019-06-18,1885,1920,1860,1865,317354,1865
2019-06-17,1890,1920,1870,1905,417590,1905
2019-06-14,1930,1940,1885,1890,356294,1890
2019-06-13,1945,2040,1890,1915,1353884,1915
2019-06-12,1890,1940,1870,1940,608343,1940
2019-06-11,1860,1905,1860,1880,354657,1880
2019-06-10,1915,1950,1850,1870,1023960,1870
2019-06-07,1865,1915,1840,1910,624370,1910
2019-06-05,1850,1975,1850,1870,2132172,1870
2019-06-04,1835,1870,1790,1860,370964,1860
2019-06-03,1865,1875,1800,1825,317464,1825
2019-05-31,1840,1870,1825,1865,332466,1865
2019-05-30,1785,1865,1785,1865,852197,1865
2019-05-29,1760,1935,1730,1775,2233210,1775
2019-05-28,1730,1815,1720,1755,235012,1755
2019-05-27,1750,1775,1715,1730,217803,1730
2019-05-24,1765,1790,1750,1750,267237,1750
2019-05-23,1770,1800,1740,1780,345462,1780
2019-05-22,1835,1850,1755,1780,534237,1780
2019-05-21,1880,1910,1805,1810,842793,1810
2019-05-20,1870,1960,1850,1920,1938080,1920
2019-05-17,2105,2135,1825,1835,6000667,1835
2019-05-15,1765,1800,1765,1795,157068,1795
