,open,high,low,close,volume,adjclose
2019-03-28,377,382,376,377,181195,377
2019-03-27,380,380,376,376,40234,376
2019-03-26,377,380,376,376,261658,376
2019-03-25,516,516,516,516,0,516
2019-03-22,513,513,513,513,0,513
2019-03-21,513,513,513,513,0,513
2019-03-20,515,515,515,515,0,515
2019-03-19,515,515,515,515,0,515
2019-03-18,371,374,370,371,316654,371
2019-03-15,367,371,366,368,390393,368
2019-03-14,365,366,363,366,387335,366
2019-03-13,364,367,364,365,230562,365
2019-03-12,364,366,364,366,320683,366
2019-03-11,365,366,362,364,383861,364
2019-03-08,364,367,363,365,296396,365
2019-03-07,363,366,363,366,451579,366
2019-03-06,514,514,514,514,0,514
2019-03-05,364,367,363,367,589348,367
2019-03-04,363,368,361,365,1117786,365
2019-02-28,377,377,362,366,3441291,366
2019-02-27,384,385,370,375,3634590,375
2019-02-26,410,416,377,383,13789264,383
2019-02-25,368,440,367,390,28753448,390
2019-02-22,512,512,512,512,0,512
2019-02-21,512,512,512,512,0,512
2019-02-20,514,514,514,514,0,514
2019-02-19,514,514,514,514,0,514
2019-02-18,513,513,513,513,0,513
2019-02-15,512,512,512,512,0,512
2019-02-14,367,369,358,365,416998,365
