,open,high,low,close,volume,adjclose
2019-11-14,29900,30200,28050,29000,2015103,29000
2019-11-13,31400,31600,30000,30000,1078913,30000
2019-11-12,30900,32550,29900,31700,1927619,31700
2019-11-08,32450,32850,31200,32250,1746910,32250
2019-11-07,28950,33300,27750,31650,6742061,31650
2019-11-06,33250,33250,29900,29950,3118854,29950
2019-11-05,33900,34100,32200,33550,2133284,33550
2019-11-04,35650,35650,34400,35200,1852068,35200
2019-11-01,32300,35750,31700,33800,3454678,33800
2019-10-31,34300,34500,31200,32900,3452458,32900
2019-10-30,35300,38400,34150,34500,7324109,34500
2019-10-29,33250,36000,29650,34400,14608258,34400
2019-10-28,39900,41000,29050,31450,14186571,31450
2019-10-25,39450,43350,35000,38050,10443138,38050
2019-10-24,43150,45500,32300,41500,18368662,41500
2019-10-23,34000,37500,33100,37500,11752673,37500
2019-10-22,28850,28850,28850,28850,0,28850
2019-10-21,24250,28850,23800,28850,10147325,28850
2019-10-18,19950,22200,18600,22200,6839488,22200
2019-10-16,16650,18250,16650,17750,12911040,17750
2019-10-15,14200,14400,13550,14050,1644951,14050
2019-10-14,15700,16250,13900,14500,3555288,14500
2019-10-11,15400,15500,13750,13900,3336467,13900
2019-10-10,15700,16300,14700,15250,2494924,15250
2019-10-09,15500,15500,15500,15500,0,15500
2019-10-08,16250,17900,14350,15500,7677722,15500
2019-10-07,13400,15900,13100,15450,8929713,15450
