,open,high,low,close,volume,adjclose
2019-11-14,11000,13900,10850,11900,3712941,11900
2019-11-13,9570,12350,9460,11050,2746707,11050
2019-11-12,10100,10100,9570,9570,255990,9570
2019-11-08,8900,9240,8840,9040,58081,9040
2019-11-07,9180,9220,8930,8980,51831,8980
2019-11-06,8950,9400,8880,9200,98620,9200
2019-11-05,8960,9150,8870,8940,78075,8940
2019-11-04,8710,9080,8540,8960,181521,8960
2019-11-01,8390,8670,8300,8650,96223,8650
2019-10-31,8400,8500,8290,8330,39411,8330
2019-10-30,8230,8400,8210,8360,65488,8360
2019-10-29,8040,8340,8040,8190,55976,8190
2019-10-28,8020,8180,8000,8040,39650,8040
2019-10-25,8350,8450,7990,8040,100521,8040
2019-10-24,8310,8440,8220,8350,45178,8350
2019-10-23,8490,8490,8240,8320,52998,8320
2019-10-22,8360,8550,8260,8370,222711,8370
2019-10-21,8050,8400,8050,8160,255960,8160
2019-10-18,7920,8080,7900,8030,58757,8030
2019-10-17,7920,8080,7770,7930,29383,7930
2019-10-16,7720,7930,7710,7920,37133,7920
2019-10-15,7680,7890,7680,7710,16262,7710
2019-10-14,7670,7840,7640,7750,23300,7750
2019-10-11,7860,7940,7740,7740,15049,7740
2019-10-10,7920,7980,7800,7910,21500,7910
2019-10-09,7940,7940,7940,7940,0,7940
2019-10-08,7830,7960,7700,7940,45697,7940
2019-10-07,7810,7980,7550,7900,40861,7900
