Date,Open,High,Low,Close,Volume,Adj Close
2019-01-18,17100,17350,17000,17200,64999,17200
2018-01-31,24400,24500,22300,24300,920998,24300
2018-01-30,23600,25200,23200,24600,1232570,24600
2018-01-29,25100,25450,23300,24100,1595287,24100
2018-01-26,22800,25750,22700,25450,3380318,25450
2018-01-25,21350,23150,20600,22400,1930282,22400
2018-01-24,21500,22000,19750,21400,2393169,21400
2018-01-23,19500,21200,19300,21150,4152780,21150
2018-01-22,18350,19000,18150,18950,2472056,18950
2018-01-19,15700,19700,15700,18400,4382012,18400
2018-01-18,15000,16400,14900,15900,1665592,15900
