date,open,high,low,close,volume,adjclose
2020-09-25,961,968,863,924,1787440,924
2020-09-24,854,1030,850,970,5747087,970
2020-09-23,848,884,812,854,351154,854
2020-09-22,850,874,820,829,468496,829
2020-09-21,891,898,864,875,211730,875
2020-09-18,894,903,879,891,219195,891
2020-09-17,898,926,882,894,406784,894
2020-09-16,901,901,882,890,316292,890
2020-09-15,959,959,891,901,713860,901
2020-09-14,864,926,855,923,1328708,923
2020-09-11,803,965,803,854,4177657,854
2020-09-10,775,809,772,806,599297,806
2020-09-09,772,777,761,770,193651,770
2020-09-08,780,784,774,775,228870,775
2020-09-04,801,801,773,792,189028,792
2020-09-03,799,813,791,803,186463,803
2020-09-02,801,813,792,796,381647,796
2020-09-01,824,824,797,797,357498,797
2020-08-31,780,927,769,824,1300442,824
2020-08-28,795,802,782,783,440187,783
2020-08-27,819,830,798,804,286132,804
2020-08-26,803,814,797,804,205924,804
2020-08-25,805,825,791,802,225774,802
2020-08-24,806,820,791,800,151522,800
2020-08-21,800,809,790,798,163695,798
2020-08-20,850,850,790,793,727202,793
2020-08-19,879,880,829,858,458980,858
2020-08-18,924,968,863,864,2243253,864
2020-08-17,921,921,921,921,0,921
2020-08-14,929,1020,880,921,4291915,921
