date,open,high,low,close,volume,adjclose
2020-09-11,9960,9960,9400,9400,415535,9400
2020-09-10,10300,10450,9280,9970,443490,9970
2020-09-09,9900,10500,9900,10250,278267,10250
2020-09-08,9980,10550,9610,9900,598578,9900
2020-09-04,8510,9250,8510,9080,441240,9080
2020-09-03,8650,9190,8610,9010,437441,9010
2020-09-02,8290,8820,8120,8600,438970,8600
2020-09-01,7830,9200,7700,8290,1155240,8290
2020-08-31,7330,7780,7250,7780,443302,7780
2020-08-28,7200,7590,7120,7330,322309,7330
2020-08-27,7300,7710,7080,7080,753824,7080
2020-08-26,6940,7330,6720,7300,766589,7300
2020-08-25,6660,7140,6660,6780,529972,6780
2020-08-24,6710,6770,6590,6700,210206,6700
2020-08-21,6520,6820,6500,6710,376216,6710
2020-08-20,6900,6990,6410,6520,684114,6520
2020-08-19,6240,6760,6160,6730,649533,6730
2020-08-18,6700,6860,6060,6310,584826,6310
2020-08-17,6700,6700,6700,6700,0,6700
2020-08-14,6570,6760,6460,6700,388392,6700
2020-08-13,6840,6850,6550,6610,419505,6610
2020-08-12,6610,6790,6380,6670,385767,6670
2020-08-11,6640,6940,6420,6740,540776,6740
2020-08-10,6840,6840,6400,6680,947881,6680
2020-08-07,6070,7290,5880,6890,3457436,6890
2020-08-06,5990,6160,5870,6090,953439,6090
2020-08-05,5920,6210,5720,6050,2345597,6050
2020-08-04,5550,6230,5280,5880,6824225,5880
2020-08-03,4155,5190,4155,5100,3880260,5100
