,open,high,low,close,volume,adjclose
2019-11-18,3010,3080,3010,3080,74649,3080
2019-11-14,3105,3130,3025,3035,124710,3035
2019-11-13,3145,3145,3070,3105,139039,3105
2019-11-12,3100,3140,3060,3125,201645,3125
2019-11-08,3070,3100,3050,3080,115500,3080
2019-11-07,3050,3085,3020,3075,92766,3075
2019-11-06,3055,3090,3005,3045,128260,3045
2019-11-05,3050,3100,3035,3055,156093,3055
2019-11-04,3040,3060,2980,3050,110516,3050
2019-11-01,3005,3085,2995,2995,97502,2995
2019-10-31,2975,3080,2970,3035,185775,3035
2019-10-30,3020,3080,2970,2970,180851,2970
2019-10-29,3130,3285,3020,3040,1732923,3040
2019-10-28,2990,3130,2965,3000,556640,3000
2019-10-25,3000,3070,2915,2995,652268,2995
2019-10-24,2745,3360,2730,3000,3684418,3000
2019-10-23,2860,2865,2780,2785,174982,2785
2019-10-22,2770,3200,2720,2850,1354092,2850
2019-10-21,2790,2810,2730,2770,20770,2770
2019-10-18,2790,2810,2760,2790,24396,2790
2019-10-17,2840,2840,2760,2790,52539,2790
2019-10-16,2775,2845,2770,2835,89849,2835
2019-10-15,2760,2775,2700,2770,46616,2770
2019-10-14,2730,2740,2695,2740,48158,2740
2019-10-11,2720,2720,2655,2710,64174,2710
2019-10-10,2750,2775,2685,2685,45666,2685
2019-10-09,2750,2750,2750,2750,0,2750
2019-10-08,2700,2750,2670,2750,78867,2750
