,open,high,low,close,volume,adjclose
2019-11-14,1665,1665,1550,1600,662758,1600
2019-11-13,1615,1700,1600,1640,1632871,1640
2019-11-12,1525,1630,1500,1600,586887,1600
2019-11-08,1600,1600,1490,1530,941930,1530
2019-11-07,1620,1690,1570,1605,1392977,1605
2019-11-06,1610,1615,1555,1585,630510,1585
2019-11-05,1595,1650,1530,1595,667277,1595
2019-11-04,1665,1700,1565,1595,778371,1595
2019-11-01,1710,1710,1635,1665,477546,1665
2019-10-31,1660,1740,1655,1685,1277462,1685
2019-10-30,1610,1710,1590,1640,1933883,1640
2019-10-29,1610,1690,1580,1590,1157380,1590
2019-10-28,1490,1650,1470,1630,2438845,1630
2019-10-25,1575,1605,1515,1515,988877,1515
2019-10-24,1670,1705,1555,1575,1964541,1575
2019-10-23,1390,1730,1350,1635,6523343,1635
2019-10-22,1520,1580,1390,1450,1866458,1450
2019-10-21,1420,1535,1385,1520,1527985,1520
2019-10-18,1485,1500,1295,1415,1689287,1415
2019-10-17,1465,1515,1445,1480,787135,1480
2019-10-16,1450,1500,1415,1465,572997,1465
2019-10-15,1475,1510,1380,1450,892321,1450
2019-10-14,1330,1530,1330,1495,2996911,1495
2019-10-11,1135,1435,1110,1325,2427562,1325
2019-10-10,1120,1150,1100,1115,197930,1115
2019-10-09,1120,1120,1120,1120,0,1120
2019-10-08,1115,1135,1075,1120,404213,1120
2019-10-07,1145,1185,1095,1135,258371,1135
