Date,Open,High,Low,Close,Volume,Adj Close
2018-01-02,681,695,681,695,568616,695
2018-01-03,699,722,699,719,970168,719
2018-01-04,720,779,698,727,5384760,727
2018-01-05,731,732,710,715,2076020,715
2018-01-08,715,723,694,700,2257650,700
2018-01-09,711,712,698,705,1099359,705
2018-01-10,706,724,698,722,1386257,722
2018-01-11,727,727,710,711,1214306,711
2018-01-12,715,718,690,699,1900011,699
2018-01-15,699,702,679,684,1153979,684
2018-01-16,685,691,668,687,1079472,687
2018-01-17,688,694,674,687,1093739,687
2018-01-18,693,713,684,709,2025532,709
2018-01-19,714,732,703,729,2178872,729
2018-01-22,735,767,720,749,4602485,749
2018-01-23,749,764,744,759,1692176,759
2018-01-24,760,765,752,759,1088329,759
2018-01-25,759,762,732,740,1174895,740
2018-01-26,741,774,740,773,2480525,773
2018-01-29,773,773,773,773,0,773
2018-01-30,773,773,773,773,0,773
2018-01-31,773,773,773,773,0,773
2018-12-19,60,65,54,54,55469992,54
2018-12-20,51,51,36,45,47709585,45
2018-12-21,40,45,37,37,37162491,37
2018-12-24,34,34,28,28,41978909,28
2018-12-26,27,28,22,25,35489954,25
2018-12-27,27,35,25,35,56679340,35
