,Open,High,Low,Close,Volume,Adj Close
2018-01-02,72500,73000,70900,71000,59361,71000
2018-01-03,71000,73300,70700,72300,75646,72300
2018-01-04,72700,72800,71200,71300,36837,71300
2018-01-05,72300,72300,71300,71300,29289,71300
2018-01-08,71800,71800,69500,69700,132980,69700
2018-01-09,69700,70500,68600,69200,86708,69200
2018-01-10,69100,69500,66000,66700,126044,66700
2018-01-11,66700,68100,66500,67500,55739,67500
2018-01-12,67500,68300,65600,66300,94933,66300
2018-01-15,66500,66700,65400,66100,60540,66100
2018-01-16,66200,66700,65600,65900,63709,65900
2018-01-17,65700,66000,64800,65300,69252,65300
2018-01-18,65400,65900,65000,65100,43773,65100
2018-01-19,64900,65800,64800,65700,59394,65700
2018-01-22,66000,66100,63900,65000,65303,65000
2018-01-23,65300,65800,64600,65600,42557,65600
2018-01-24,65800,67400,65800,66100,55594,66100
2018-01-25,66100,67500,65800,67500,59655,67500
2018-01-26,67600,68300,67500,68000,58773,68000
2018-01-29,68600,69100,68100,68400,48588,68400
2018-01-30,68800,68800,67400,67400,50181,67400
2018-01-31,67400,68100,66000,67400,76700,67400
2018-02-01,66800,67600,66300,66600,53519,66600
2018-02-02,66700,68500,66700,68500,84379,68500
2018-02-05,67200,70200,67000,68300,113011,68300
2018-02-06,67000,69600,63900,69200,141776,69200
2018-02-07,70200,72500,69200,70000,262234,70000
2018-02-08,70000,74400,69800,73900,247082,73900
2018-02-09,72500,76300,70300,73800,214768,73800
2018-02-12,73800,77800,72300,76800,170855,76800
2018-02-13,76300,77300,74600,75900,84768,75900
2018-02-14,75800,76800,74400,76400,74716,76400
2018-02-15,76400,76400,76400,76400,0,76400
2018-02-16,76400,76400,76400,76400,0,76400
2018-02-19,77900,77900,74400,76400,65201,76400
2018-02-20,76400,76400,73500,73900,70707,73900
2018-02-21,75000,80500,74100,80300,259758,80300
2018-02-22,79400,79800,77000,78500,94974,78500
2018-02-23,78200,78300,72000,76000,84544,76000
2018-02-26,75400,76500,73900,75000,68633,75000
2018-02-27,75500,75900,74500,75700,45863,75700
2018-02-28,75100,75100,73000,73800,75050,73800
2018-03-02,72500,74100,71700,73300,55683,73300
2018-03-05,72600,74000,69900,70500,51117,70500
2018-03-06,71100,74500,70900,73300,67472,73300
2018-03-07,72700,73200,70500,71500,48526,71500
2018-03-08,71400,72400,70800,71300,46214,71300
2018-03-09,71100,74000,71100,74000,58956,74000
2018-03-12,74000,74700,72300,73300,55827,73300
2018-03-13,73200,76000,72600,75200,79186,75200
2018-03-14,74400,75200,73500,74400,33771,74400
2018-03-15,74800,74800,72500,73600,48511,73600
2018-03-16,73900,74500,72600,73400,44130,73400
2018-03-19,73500,73500,71900,72200,30626,72200
2018-03-20,72800,74300,72000,72600,61554,72600
2018-03-21,72100,72800,71800,72100,35762,72100
2018-03-22,72100,73000,71900,72300,49618,72300
2018-03-23,71500,71700,69700,69700,48802,69700
2018-03-26,68700,70500,67800,70500,38690,70500
2018-03-27,71000,71300,69800,70900,39670,70900
2018-03-28,70000,70300,68400,69300,63184,69300
2018-03-29,69000,69600,67900,69600,43680,69600
2018-03-30,70100,70900,69000,70700,30504,70700
2018-04-02,70300,70500,67900,68400,94070,68400
2018-04-03,68000,70800,68000,70100,64923,70100
2018-04-04,69600,70800,67500,68100,78097,68100
2018-04-05,68600,69500,68100,69000,44209,69000
2018-04-06,68500,69300,67400,68200,55570,68200
2018-04-09,68200,69600,67600,69500,53216,69500
2018-04-10,68800,68900,67500,67900,50736,67900
2018-04-11,67700,69000,67600,68300,26936,68300
2018-04-12,68700,72600,68700,71700,93488,71700
2018-04-13,71100,72300,70500,71800,42032,71800
2018-04-16,72300,72300,70200,70800,48139,70800
2018-04-17,71200,73000,70500,72100,38046,72100
2018-04-18,71600,72600,71600,72000,27745,72000
2018-04-19,71700,72200,71100,71600,30472,71600
2018-04-20,71300,72600,71100,71800,21341,71800
2018-04-23,71500,72400,71200,71900,21831,71900
2018-04-24,71900,73000,71000,71700,54077,71700
2018-04-25,71500,71500,70300,70800,33895,70800
2018-04-26,70800,72100,70600,71100,69529,71100
2018-04-27,70700,72500,70700,71800,46335,71800
2018-04-30,71500,71700,69900,70700,75586,70700
2018-05-02,70200,71400,69900,70100,35048,70100
2018-05-03,69800,71300,69600,71200,31683,71200
2018-05-04,70300,71200,68200,68600,95790,68600
2018-05-08,68400,69200,68400,69100,25971,69100
2018-05-09,69700,71000,68800,70200,37786,70200
2018-05-10,69600,70800,69200,70000,31293,70000
2018-05-11,69900,70600,69100,69400,22806,69400
2018-05-14,69800,70500,69300,69800,25225,69800
2018-05-15,69600,72400,69500,72200,61240,72200
2018-05-16,72500,72500,69600,71000,49201,71000
2018-05-17,70500,71600,70100,70800,31471,70800
2018-05-18,70900,72900,69500,72300,68236,72300
2018-05-21,72300,72900,70700,71300,31340,71300
2018-05-23,70300,75800,70300,74300,139708,74300
2018-05-24,74000,76600,74000,74800,72626,74800
2018-05-25,75000,76800,75000,76000,71130,76000
2018-05-28,74800,78000,74600,77900,57190,77900
2018-05-29,77400,77700,74600,76900,31023,76900
2018-05-30,76800,76900,73900,74600,33479,74600
2018-05-31,75000,77000,74500,77000,41465,77000
2018-06-01,76800,77700,76100,77100,28633,77100
2018-06-04,77700,77800,76300,77100,24478,77100
2018-06-05,77100,78600,76400,77500,48122,77500
2018-06-07,76800,78700,76000,78300,34516,78300
2018-06-08,78300,78400,75800,76000,30971,76000
2018-06-11,76400,77500,75600,76700,26924,76700
2018-06-12,77200,77200,75100,75900,24978,75900
2018-06-14,76000,76400,74500,75300,42830,75300
2018-06-15,74500,76600,74500,75900,36157,75900
2018-06-18,76800,76800,72900,74600,49861,74600
2018-06-19,73100,76500,72600,74000,57991,74000
2018-06-20,73500,76400,73200,74300,42169,74300
2018-06-21,74000,79500,74000,76500,121974,76500
2018-06-22,76100,78200,75000,77700,43821,77700
2018-06-25,78900,80000,77400,78800,79703,78800
2018-06-26,78300,78300,75900,77400,38840,77400
2018-06-27,76600,78800,76000,78100,49008,78100
2018-06-28,78800,79600,76600,79200,57199,79200
2018-06-29,78800,79000,77500,78300,29741,78300
2018-07-02,78300,78300,76500,76900,40552,76900
2018-07-03,77000,78900,75300,76700,47804,76700
2018-07-04,76500,78700,75600,78100,31252,78100
2018-07-05,77500,78000,75100,75900,36483,75900
2018-07-06,75000,77700,75000,77600,29300,77600
2018-07-09,77100,78600,75800,77800,23714,77800
2018-07-10,77200,78700,76500,77500,31592,77500
2018-07-11,76900,77200,75100,75600,40185,75600
2018-07-12,75600,79000,75300,78200,55593,78200
2018-07-13,78000,79500,76600,78200,33838,78200
2018-07-16,77000,79200,76600,79200,48974,79200
2018-07-17,79400,79800,77900,78000,47870,78000
2018-07-18,78000,78600,76700,77300,31303,77300
2018-07-19,77000,78000,76900,77300,18818,77300
2018-07-20,77400,78300,76000,76300,25305,76300
2018-07-23,77500,77500,73000,74200,49617,74200
2018-07-24,74300,75600,73000,74100,34686,74100
2018-07-25,74700,75700,73900,74100,31187,74100
2018-07-26,75700,76900,74600,75400,29043,75400
2018-07-27,76900,79500,75800,78300,73829,78300
2018-07-30,77400,79800,77000,77600,57247,77600
2018-07-31,77900,78400,76400,77500,39937,77500
2018-08-01,77500,78800,77500,77700,64289,77700
2018-08-02,77000,78400,76900,77400,46872,77400
2018-08-03,77500,78600,77400,78000,53580,78000
2018-08-06,78500,79000,77500,78200,81556,78200
2018-08-07,77600,83300,77600,83200,176787,83200
2018-08-08,82200,84200,82000,82800,111413,82800
2018-08-09,82700,84000,81700,83200,62656,83200
2018-08-10,82800,84300,80900,81800,55230,81800
2018-08-13,81600,82200,80500,81300,44949,81300
2018-08-14,82000,82000,81200,81800,32817,81800
2018-08-16,81800,84000,80300,83100,84830,83100
2018-08-17,82600,83700,81100,83000,54046,83000
2018-08-20,83700,83900,81300,82100,36795,82100
2018-08-21,83000,85300,82000,85100,118393,85100
2018-08-22,84900,86400,83400,85200,55734,85200
2018-08-23,85200,85900,83500,84400,37526,84400
2018-08-24,84500,85200,83000,83900,34731,83900
2018-08-27,84400,86300,83600,85500,55477,85500
2018-08-28,85500,85900,83700,85000,43428,85000
2018-08-29,85700,86100,84200,85200,41213,85200
2018-08-30,86700,86800,84500,85000,58088,85000
2018-08-31,84700,84900,82900,83200,60274,83200
2018-09-03,83200,85600,82500,85400,55092,85400
2018-09-04,85400,88000,84000,87300,53550,87300
2018-09-05,86500,88200,84800,87200,65678,87200
2018-09-06,86300,87100,85600,86400,27810,86400
2018-09-07,87100,87500,85500,86500,28904,86500
2018-09-10,84700,86500,84200,85800,25968,85800
2018-09-11,85000,86500,84500,85300,17800,85300
2018-09-12,86300,86300,83800,85400,39048,85400
2018-09-13,85300,85900,83200,83700,47748,83700
2018-09-14,83700,86200,83700,84600,58821,84600
2018-09-17,84200,84600,82800,83800,18382,83800
2018-09-18,82600,84000,82600,83600,28891,83600
2018-09-19,83200,83900,81100,81300,64017,81300
2018-09-20,81300,81800,79900,80600,61129,80600
2018-09-21,81600,81600,79200,80400,62373,80400
2018-09-27,80100,80900,79800,80200,27884,80200
2018-09-28,80300,81500,79900,79900,27230,79900
2018-10-01,79300,80400,77900,78400,30605,78400
2018-10-02,78100,79000,77700,78400,24634,78400
2018-10-04,78600,78800,75700,76500,45676,76500
2018-10-05,77300,79000,76400,77000,49892,77000
2018-10-08,78100,79700,77000,78800,41630,78800
2018-10-10,78500,78900,76400,77400,55876,77400
2018-10-11,76400,76900,71100,72300,89064,72300
2018-10-12,72600,76500,71200,75500,56502,75500
2018-10-15,73700,79600,73700,75700,47352,75700
2018-10-16,76500,78500,75800,77600,38757,77600
2018-10-17,80000,82800,78500,80000,86154,80000
2018-10-18,80100,82200,80000,81000,48064,81000
2018-10-19,82000,82300,79800,80600,37716,80600
2018-10-22,79400,82000,79200,80800,29355,80800
2018-10-23,79700,81400,79700,80700,32693,80700
2018-10-24,81900,81900,77900,80200,58621,80200
2018-10-25,80100,80100,77500,79200,49341,79200
2018-10-26,78000,79000,75100,77800,64291,77800
2018-10-29,79400,79900,75600,77200,69406,77200
2018-10-30,77200,78400,75000,77200,47557,77200
2018-10-31,75600,80300,75000,79200,50508,79200
2018-11-01,78700,78800,76200,76200,56249,76200
2018-11-02,76200,77000,74900,76100,66674,76100
2018-11-05,76000,76300,74100,75800,43370,75800
2018-11-06,76500,76700,74700,75100,39732,75100
2018-11-07,75600,77000,74700,75400,30764,75400
