Date,open,high,low,close,volume,adjclose
2018-08-08,238500,247000,238500,240500,45105,240500
2018-08-07,235000,242500,234000,240500,41531,240500
2018-08-06,230500,236500,230500,235500,43503,235500
2018-08-03,232000,232500,229500,231500,36831,231500
2018-08-02,233000,234000,227500,230500,40205,230500
2018-08-01,250000,250000,231000,232500,133022,232500
2018-07-31,247500,250500,243500,249500,27762,249500
2018-07-30,247500,248500,242500,247000,20972,247000
2018-07-27,252500,253000,244000,247500,28052,247500
2018-07-26,238000,253000,237500,251000,106208,251000
2018-07-25,230000,239000,230000,232000,46246,232000
2018-07-24,234500,235000,227000,229500,51363,229500
2018-07-23,239500,242000,233000,233000,26038,233000
2018-07-20,241000,241500,235500,238500,23960,238500
2018-07-19,242500,249000,240000,241000,24294,241000
2018-07-18,244000,250500,244000,244500,22501,244500
2018-07-17,251000,251500,239500,242500,24704,242500
2018-07-16,246500,252500,246500,247500,18818,247500
2018-07-13,249000,251000,244500,247500,24566,247500
2018-07-12,238000,249500,237000,246500,83903,246500
2018-07-11,236000,242500,233500,234500,49396,234500
2018-07-10,241500,246000,241500,242500,14498,242500
2018-07-09,238000,242500,236500,241500,21801,241500
2018-07-06,232500,241500,232500,240500,30108,240500
2018-07-05,239500,241500,230000,234000,41554,234000
2018-07-04,239500,246000,238000,239000,32888,239000
2018-07-03,242500,248000,237000,240000,45280,240000
2018-07-02,246500,251500,239500,240000,30608,240000
2018-06-29,252500,252500,243000,250500,32422,250500
2018-06-28,240500,251000,240500,250500,46174,250500
