Date,open,high,low,close,volume,adjclose
2018-08-09,91600,94100,90500,94000,436724,94000
2018-08-08,90700,93900,90300,91800,408022,91800
2018-08-07,91500,91600,89300,90700,326549,90700
2018-08-06,91000,92200,89700,90200,484820,90200
2018-08-03,94000,94300,92600,93000,448125,93000
2018-08-02,92700,94200,90400,93500,566908,93500
2018-08-01,92100,93400,90000,92200,494067,92200
2018-07-31,95500,96000,89300,91000,1020919,91000
2018-07-30,91500,95600,90900,94800,1056592,94800
2018-07-27,89500,92100,87300,91600,855292,91600
2018-07-26,84100,91400,83700,89400,1159961,89400
2018-07-25,83700,85400,81000,83200,1009256,83200
2018-07-24,75900,83400,75700,82200,1827285,82200
2018-07-23,75500,76500,73000,73300,493644,73300
2018-07-20,79000,79400,75800,77100,461478,77100
2018-07-19,76700,83800,73100,78000,1394252,78000
2018-07-18,81100,81500,76400,76600,561368,76600
2018-07-17,82100,82400,80300,80700,302036,80700
2018-07-16,83800,84400,81100,81700,403675,81700
2018-07-13,81800,84300,80600,82900,681129,82900
2018-07-12,79700,83000,78200,79400,908757,79400
2018-07-11,74700,80500,74600,79100,939180,79100
2018-07-10,74800,77700,74300,75400,898661,75400
2018-07-09,78500,79300,71800,73100,1533986,73100
2018-07-06,80100,85000,78500,84200,906705,84200
2018-07-05,83600,84700,78000,79700,1070288,79700
2018-07-04,84300,86100,83400,83800,454526,83800
2018-07-03,84200,85200,81000,84700,845294,84700
2018-07-02,89300,89700,82000,82200,962950,82200
2018-06-29,87600,90500,85400,89600,1115807,89600
