Date,open,high,low,close,volume,adjclose
2018-08-07,14300,14400,14200,14400,7570,14400
2018-01-31,13900,14000,13700,13850,57533,13850
2018-01-30,14000,14200,13900,13950,68365,13950
2018-01-29,14000,14250,13900,14150,128713,14150
2018-01-26,14200,14200,13800,14000,168268,14000
2018-01-25,14250,14600,14000,14100,465793,14100
2018-01-24,13200,16800,13100,14700,2599552,14700
2018-01-23,13200,13200,12950,13150,10703,13150
2018-01-22,12950,13150,12900,12950,9145,12950
2018-01-19,13000,13000,12850,12950,10540,12950
2018-01-18,12800,13000,12800,12950,10800,12950
2018-01-17,12800,12950,12700,12900,12094,12900
2018-01-16,12700,12900,12550,12900,11460,12900
2018-01-15,13000,13000,12500,12650,36379,12650
2018-01-12,13000,13050,12400,13000,35856,13000
2018-01-11,12850,13000,12750,12900,6159,12900
2018-01-10,12900,13000,12700,12800,20159,12800
2018-01-09,12750,12950,12750,12900,17754,12900
2018-01-08,13250,13250,12750,12900,26923,12900
2018-01-05,13200,13350,12950,13300,8202,13300
2018-01-04,13500,13500,13100,13200,9655,13200
2018-01-03,13750,13750,13350,13400,22515,13400
2018-01-02,13300,13800,13300,13750,22704,13750
2017-12-28,13200,13400,13000,13300,15915,13300
2017-12-27,13200,13200,13000,13150,6990,13150
2017-12-26,13100,13300,13000,13250,11807,13250
2017-12-22,13000,13150,12900,13100,11819,13100
2017-12-21,13150,13150,12950,12950,7786,12950
2017-12-19,13100,13300,12900,13250,28378,13250
2017-12-18,12900,13250,12800,13150,24317,13150
