Date,open,high,low,close,volume,adjclose
2018-08-07,39550,39700,39000,39300,155303,39300
2018-08-06,39500,40550,39200,39450,384812,39450
2018-08-03,39450,39500,38350,39150,332553,39150
2018-08-02,41150,41150,39000,39400,387022,39400
2018-08-01,42300,42450,41050,41100,199717,41100
2018-07-31,41000,42050,40550,41900,232516,41900
2018-07-30,41500,41500,40150,41250,420482,41250
2018-07-27,40350,43450,40350,41700,1172103,41700
2018-07-26,40000,40450,38700,39800,390310,39800
2018-07-25,39800,40600,39250,39850,197332,39850
2018-07-24,42250,42250,39100,39700,828162,39700
2018-07-23,41000,42550,40950,41850,515662,41850
2018-07-20,39600,41150,38950,40950,436496,40950
2018-07-19,40150,41800,39450,39650,256996,39650
2018-07-18,40550,41000,39800,40150,194031,40150
2018-07-17,41100,41900,40350,40900,220680,40900
2018-07-16,39750,42200,39650,41400,499018,41400
2018-07-13,39450,40400,38700,40050,279617,40050
2018-07-12,39000,40150,38850,39450,289865,39450
2018-07-11,38250,39450,38250,39000,321072,39000
2018-07-10,40200,41000,38550,38900,384533,38900
2018-07-09,38750,40400,38100,40200,415988,40200
2018-07-06,35650,39200,35650,38600,910533,38600
2018-07-05,35000,35800,34400,35600,590534,35600
2018-07-04,36600,36800,34100,34150,561257,34150
2018-07-03,38100,39100,35900,36650,394917,36650
2018-07-02,38400,38500,37750,38100,225802,38100
2018-06-29,38000,38550,37350,38400,392898,38400
2018-06-28,37250,38450,36850,37600,484685,37600
2018-06-27,37800,38750,37000,37100,479635,37100
