Date,open,high,low,close,volume,adjclose
2018-08-08,6830,6950,6820,6920,31347,6920
2018-08-07,6830,6830,6700,6820,12532,6820
2018-08-06,6850,6890,6780,6830,13595,6830
2018-08-03,6860,6870,6740,6850,10261,6850
2018-08-02,6900,6900,6750,6860,12774,6860
2018-08-01,6850,6880,6750,6880,11106,6880
2018-07-31,6830,6890,6730,6850,25860,6850
2018-07-30,6840,6880,6760,6830,16535,6830
2018-07-27,6750,6850,6640,6850,15530,6850
2018-07-26,6660,6700,6570,6700,34141,6700
2018-07-25,6760,6760,6520,6600,38111,6600
2018-07-24,6670,6740,6620,6720,38620,6720
2018-07-23,6890,6980,6610,6660,67048,6660
2018-07-20,6800,6970,6800,6890,36838,6890
2018-07-19,6950,6950,6780,6800,97168,6800
2018-07-18,7030,7070,6950,6950,55466,6950
2018-07-17,7160,7160,7010,7020,47977,7020
2018-07-16,7310,7330,7110,7110,48030,7110
2018-07-13,7360,7490,7260,7310,59949,7310
2018-07-12,7340,7500,7290,7360,107901,7360
2018-07-11,7460,7590,7320,7330,172685,7330
2018-07-10,7290,7490,7140,7460,283598,7460
2018-07-09,7100,7480,6990,7300,328700,7300
2018-07-06,6950,7090,6850,7060,19580,7060
2018-07-05,7150,7150,6840,6950,70072,6950
2018-07-04,7150,7190,7050,7150,20195,7150
2018-07-03,7130,7270,7030,7150,82301,7150
2018-07-02,7280,7390,6990,7130,112242,7130
2018-06-29,7130,7340,7010,7280,78426,7280
2018-06-28,7010,7280,6960,7200,79989,7200
