Date,open,high,low,close,volume,adjclose
2018-04-25,21600,21950,21200,21200,127519,21200
2018-01-31,20450,20500,19900,20250,244859,20250
2018-01-30,21000,21100,20400,20750,274450,20750
2018-01-29,21350,21700,20950,21200,271040,21200
2018-01-26,20550,21500,20550,21450,305170,21450
2018-01-25,21250,21400,20550,20700,271795,20700
2018-01-24,21450,21500,20700,21300,314075,21300
2018-01-23,21600,21600,20750,21450,388913,21450
2018-01-22,21400,22300,20700,21300,876114,21300
2018-01-19,19500,21200,19450,20900,787112,20900
2018-01-18,19750,19800,19400,19450,367654,19450
2018-01-17,19050,19600,19050,19450,471216,19450
2018-01-16,18000,19100,18000,18950,422399,18950
2018-01-15,18000,18250,17500,18000,224980,18000
2018-01-12,18350,18350,17700,18000,215226,18000
2018-01-11,18900,19050,18200,18250,300226,18250
2018-01-10,17350,18500,17300,18350,348902,18350
2018-01-09,17650,18150,17250,17250,206836,17250
2018-01-08,18200,18200,17300,17650,240670,17650
2018-01-05,18300,18600,17950,18200,143006,18200
2018-01-04,19250,19300,18100,18100,214137,18100
2018-01-03,19700,19700,18900,19150,209873,19150
2018-01-02,18450,19700,18350,19650,329829,19650
2017-12-28,17950,18800,17800,18050,262331,18050
2017-12-27,17900,18100,17550,18100,103778,18100
2017-12-26,17800,18350,17700,18000,173480,18000
2017-12-22,16850,17800,16550,17650,197500,17650
2017-12-21,17350,18050,17050,17050,173096,17050
2017-12-19,19400,19450,17850,18300,294295,18300
2017-12-18,19000,19600,19000,19150,185085,19150
