Date,open,high,low,close,volume,adjclose
2018-08-07,135500,137500,134500,137500,3922,137500
2018-08-06,139500,140500,134500,134500,4221,134500
2018-08-03,140000,142000,138000,140500,3323,140500
2018-08-02,136000,140000,134500,137000,3665,137000
2018-08-01,135500,137500,134000,136000,4833,136000
2018-07-31,140000,140000,131500,135000,5987,135000
2018-07-30,136500,141500,131500,137000,6697,137000
2018-07-27,136000,141500,134500,136500,6888,136500
2018-07-26,130000,139000,130000,136000,12469,136000
2018-07-25,126000,135000,122000,130000,17546,130000
2018-07-24,114500,128000,114500,124500,35829,124500
2018-07-23,118000,119500,114000,114000,17668,114000
2018-07-20,124000,125000,117000,117000,18969,117000
2018-07-19,129000,129000,122500,125500,12980,125500
2018-07-18,135000,135000,126500,128000,15254,128000
2018-07-17,139500,139500,133500,135000,5755,135000
2018-07-16,143000,143000,135000,138000,9429,138000
2018-07-13,136000,144500,134500,142000,10328,142000
2018-07-12,133000,138000,132000,134500,7944,134500
2018-07-11,128000,137500,127500,135000,15756,135000
2018-07-10,128000,131000,127000,129000,10183,129000
2018-07-09,132000,132000,123500,127500,27760,127500
2018-07-06,134500,137000,130500,137000,13099,137000
2018-07-05,138500,139000,132000,134000,11402,134000
2018-07-04,131500,140000,130500,139500,15993,139500
2018-07-03,134000,135000,128000,131500,10317,131500
2018-07-02,140500,142000,130000,130000,24474,130000
2018-06-29,137000,149000,133000,143500,36552,143500
2018-06-28,133000,139500,133000,134500,10706,134500
2018-06-27,133500,138500,129000,135500,32023,135500
