Date,open,high,low,close,volume,adjclose
2018-08-07,25150,25250,24300,25150,12581,25150
2018-08-06,25300,25400,24500,25150,2814,25150
2018-08-03,25150,25300,24900,25300,17565,25300
2018-08-02,25000,25300,24800,25000,8584,25000
2018-08-01,24600,25300,24500,25000,11460,25000
2018-07-31,24400,24450,23950,24400,8333,24400
2018-07-30,24100,24350,23750,24300,9815,24300
2018-07-27,23700,23950,23200,23950,8151,23950
2018-07-26,22350,23800,22350,23550,38356,23550
2018-07-25,22150,22400,21900,22300,15540,22300
2018-07-24,22400,23500,21650,21950,45031,21950
2018-07-23,23600,23600,22000,22400,28821,22400
2018-07-20,25000,25000,23100,23600,43298,23600
2018-07-19,26000,26000,24200,24900,10963,24900
2018-07-18,26300,26300,25500,25650,7605,25650
2018-07-17,26800,26800,26100,26150,5196,26150
2018-07-16,27300,27300,26250,26800,7664,26800
2018-07-13,26950,27100,26250,27000,4831,27000
2018-07-12,27300,27300,26550,26550,4367,26550
2018-07-11,25750,27450,25750,27200,16351,27200
2018-07-10,26050,26400,25900,26300,18134,26300
2018-07-09,26650,26650,25450,25650,16401,25650
2018-07-06,25900,26850,25550,26650,21476,26650
2018-07-05,26850,27450,26200,26300,12974,26300
2018-07-04,27000,27200,26650,26900,9880,26900
2018-07-03,26600,27300,26450,27000,14699,27000
2018-07-02,29200,29200,26400,26550,37986,26550
2018-06-29,28600,29300,28350,28900,8056,28900
2018-06-28,29350,29650,28500,28600,18174,28600
2018-06-27,30400,30750,29050,29400,16532,29400
