Date,Open,High,Low,Close,Volume,Adj_Close
2021-02-22,380,429,366,429,615696866,429
2021-02-23,434,543,364,472,1069166271,472
2021-02-24,457,525,420,446,349467690,446
2021-02-25,457,482,392,406,286436257,406
2021-02-26,383,430,346,372,162075037,372
2021-03-02,380,476,366,474,621943888,474
2021-03-03,458,527,445,460,504986696,460
2021-03-04,463,489,450,455,131787278,455
2021-03-05,465,472,424,440,79255210,440
2021-03-08,455,482,427,455,122456325,455
2021-03-09,455,456,416,425,51930564,425
2021-03-10,431,457,413,427,63594490,427
2021-03-11,432,491,401,443,367111042,443
2021-03-12,492,546,470,493,874645137,493
2021-03-15,502,525,459,469,188089868,469
2021-03-16,470,479,443,455,91999332,455
2021-03-17,450,450,431,441,41604928,441
2021-03-18,439,498,426,461,260727673,461
2021-03-19,460,477,443,451,92501629,451
2021-03-22,452,465,437,443,65191724,443
2021-03-23,445,450,437,442,40295538,442
2021-03-24,441,441,423,430,30641645,430
2021-03-25,424,433,415,417,28045756,417
2021-03-26,421,426,406,408,29180026,408
2021-03-29,408,429,405,416,40344216,416
2021-03-30,417,420,405,407,21792561,407
2021-03-31,408,409,397,401,16851405,401
2021-04-01,403,404,382,385,28092927,385
2021-04-02,381,393,376,384,23175050,384
2021-04-05,384,389,363,367,1136656384,367
