Date,Open,High,Low,Close,Volume,Adj Close
2018-01-02,2010,2015,2005,2015,11893,2015
2018-01-03,2015,2015,2015,2015,0,2015
2018-01-04,2020,2025,2010,2025,12654,2025
2018-01-05,2025,2025,2015,2025,11195,2025
2018-01-08,2015,2025,2015,2020,15204,2020
2018-01-09,2020,2025,2015,2025,114534,2025
2018-01-10,2015,2025,2015,2020,27100,2020
2018-01-11,2020,2025,2020,2025,40476,2025
2018-01-12,2025,2025,2025,2025,0,2025
2018-01-15,2020,2025,2020,2025,21215,2025
2018-01-16,2025,2025,2025,2025,0,2025
2018-01-17,2020,2025,2020,2025,19255,2025
2018-01-18,2025,2025,2025,2025,0,2025
2018-01-19,2020,2030,2020,2025,69259,2025
2018-01-22,2025,2030,2020,2025,94274,2025
2018-01-23,2030,2030,2020,2030,41248,2030
2018-01-24,2030,2030,2030,2030,0,2030
2018-01-25,2025,2030,2025,2030,14896,2030
2018-01-26,2025,2030,2025,2025,37267,2025
2018-01-29,2025,2030,2020,2030,34748,2030
2018-01-30,2020,2030,2020,2030,18392,2030
2018-01-31,2025,2030,2020,2025,32634,2025
2018-02-01,2025,2030,2025,2025,110881,2025
2018-02-05,2025,2030,2020,2025,330743,2025
2018-02-06,2025,2025,2020,2020,95400,2020
2018-02-07,2025,2025,2020,2025,177733,2025
2018-02-08,2025,2025,2025,2025,30323,2025
2018-02-09,2025,2025,2020,2025,125051,2025
2018-02-12,2025,2025,2020,2025,29394,2025
2018-02-13,2025,2030,2025,2030,91317,2030
