Date,Open,High,Low,Close,Volume,Adj Close
2018-01-02,1835,1835,1720,1745,172504,1745
2018-01-03,1760,1935,1725,1845,363750,1845
2018-01-04,1845,1935,1780,1895,244937,1895
2018-01-05,1890,1910,1855,1865,100302,1865
2018-01-08,1890,1890,1780,1815,138018,1815
2018-01-09,1845,1845,1715,1725,238204,1725
2018-01-10,1770,1785,1700,1720,106215,1720
2018-01-11,1725,1760,1630,1680,238646,1680
2018-01-12,1680,1680,1565,1580,483309,1580
2018-01-15,1590,1720,1590,1635,255180,1635
2018-01-16,1655,1720,1605,1655,169968,1655
2018-01-17,1645,1715,1635,1710,170518,1710
2018-01-18,1720,1785,1715,1740,189234,1740
2018-01-19,1750,2110,1745,1905,2520190,1905
2018-01-22,1915,1920,1840,1895,389504,1895
2018-01-23,1920,2025,1890,1905,800800,1905
2018-01-24,1905,1935,1885,1910,135733,1910
2018-01-25,1925,1925,1880,1885,132420,1885
2018-01-26,1875,1925,1815,1900,245746,1900
2018-01-29,1900,1945,1895,1925,185793,1925
2018-01-30,1930,1930,1870,1895,149038,1895
2018-01-31,1895,1895,1850,1890,108919,1890
2018-02-01,1895,2455,1875,2360,9692785,2360
2018-02-02,2400,2400,2170,2270,1978597,2270
2018-02-05,2180,2280,2135,2145,652312,2145
2018-02-06,1940,2085,1900,2080,950763,2080
2018-02-07,2140,2155,1970,1970,524603,1970
2018-02-08,1970,2075,1925,2075,256217,2075
2018-02-09,1975,2065,1965,2045,243720,2045
2018-02-12,1975,2065,1990,2005,244427,2005
2018-02-13,2015,2055,1985,2000,179292,2000
2018-02-14,2015,2105,1975,2060,401925,2060
2018-02-19,2065,2150,2065,2120,320715,2120
2018-02-20,2120,2180,2100,2130,259778,2130
2018-02-21,2120,2145,2005,2145,279883,2145
2018-02-22,2180,2180,2060,2060,232131,2060
2018-02-23,2130,2130,2060,2075,131320,2075
2018-02-26,2085,2170,2050,2055,341915,2055
2018-02-27,2055,2075,1970,1980,252980,1980
2018-02-28,1940,2030,1940,2000,178984,2000
2018-03-02,2000,2030,1910,1970,104516,1970
2018-03-05,1985,1985,1890,1910,123826,1910
2018-03-06,1910,1945,1680,1740,807635,1740
2018-03-08,1800,1860,1765,1855,116743,1855
2018-03-09,1830,1975,1800,1950,262414,1950
2018-03-12,1985,1990,1875,1920,224693,1920
2018-03-13,1930,2000,1900,1935,336693,1935
2018-03-14,1950,2040,1950,2005,371593,2005
2018-03-15,2025,2030,1970,1995,322661,1995
2018-03-16,2030,2030,1920,1930,221933,1930
2018-03-19,1930,1950,1840,1850,183759,1850
2018-03-20,1870,1870,1495,1630,3372657,1630
2018-03-21,1630,1640,1420,1425,1725022,1425
2018-03-22,1300,1300,1000,1180,7647553,1180
