Date,Open,High,Low,Close,Volume,Adj Close
2018-01-01,1985,1985,1985,1985,0,1985
2018-01-02,1990,1990,1975,1990,2680,1990
2018-01-03,1975,1990,1975,1980,28055,1980
2018-01-04,1980,1990,1980,1990,37952,1990
2018-01-05,1980,1990,1980,1990,12203,1990
2018-01-08,1990,1990,1990,1990,0,1990
2018-01-09,1980,1995,1980,1985,25486,1985
2018-01-10,1980,2000,1980,1995,34686,1995
2018-01-11,1980,1995,1980,1995,20869,1995
2018-01-12,1980,1995,1980,1995,13729,1995
2018-01-15,1980,2000,1980,1990,11591,1990
2018-01-16,1995,1995,1980,1990,12399,1990
2018-01-17,1990,2000,1985,1985,47326,1985
2018-01-18,1985,1995,1985,1995,21971,1995
2018-01-19,1985,2000,1985,2000,26967,2000
2018-01-22,1985,2000,1985,1995,23925,1995
2018-01-23,1985,2005,1985,2000,21552,2000
2018-01-24,2005,2005,1990,2000,6738,2000
2018-01-25,1990,2005,1990,2000,24962,2000
2018-01-26,2000,2000,2000,2000,0,2000
2018-01-29,1990,2000,1990,2000,8343,2000
2018-01-30,2005,2005,1995,2000,8881,2000
2018-01-31,2000,2005,2000,2005,21792,2005
2018-02-01,2005,2005,2000,2005,16540,2005
2018-02-02,2000,2005,2000,2005,4895,2005
2018-02-05,2000,2005,2000,2005,36538,2005
2018-02-06,1995,2005,1995,2000,12045,2000
2018-02-07,2005,2005,2000,2005,6270,2005
2018-02-08,2000,2005,1995,1995,10359,1995
2018-02-09,1995,2000,1985,2000,24338,2000
2018-02-12,2000,2000,2000,2000,1002,2000
2018-02-13,2005,2005,1995,2000,7451,2000
2018-02-14,2005,2005,1995,1995,6749,1995
2018-02-19,2005,2005,2000,2000,1702,2000
2018-02-20,2005,2005,1995,2000,4726,2000
2018-02-21,2000,2005,2000,2000,131,2000
2018-02-22,2005,2005,2000,2000,4101,2000
2018-02-23,2005,2005,2000,2005,33708,2005
2018-02-26,2005,2010,2005,2005,18318,2005
2018-02-27,2010,2010,2005,2005,5147,2005
2018-02-28,2010,2010,2005,2005,6022,2005
2018-03-02,2010,2010,2005,2005,10006,2005
2018-03-05,2005,2015,2005,2010,199304,2010
2018-03-06,2010,2015,2005,2005,7208,2005
2018-03-08,2015,2015,2005,2010,26263,2010
2018-03-09,2015,2015,2010,2015,12261,2015
2018-03-12,2010,2015,2010,2015,71251,2015
2018-03-13,2010,2015,2010,2015,57758,2015
2018-03-14,2015,2015,2010,2015,24231,2015
2018-03-15,2015,2015,2010,2015,9231,2015
2018-03-16,2015,2020,2015,2015,19538,2015
2018-03-19,2015,2025,2015,2020,19408,2020
2018-03-20,2015,2020,2015,2015,100701,2015
2018-03-21,2020,2020,2015,2015,6749,2015
2018-03-22,2020,2020,2015,2020,3002,2020
2018-03-23,2020,2020,2015,2015,9278,2015
2018-03-26,2015,2015,2010,2015,13199,2015
2018-03-27,2015,2015,2010,2015,14147,2015
2018-03-28,2015,2020,2010,2015,15908,2015
2018-03-29,2015,2020,2015,2020,27357,2020
2018-03-30,2010,2015,2010,2015,32777,2015
2018-04-02,2010,2015,2010,2010,44095,2010
2018-04-03,2015,2015,2010,2015,42050,2015
2018-04-04,2020,2020,2010,2010,14473,2010
2018-04-05,2015,2020,2015,2020,783,2020
2018-04-06,2010,2020,2010,2020,2999,2020
2018-04-09,2015,2020,2015,2020,11066,2020
2018-04-10,2015,2025,2015,2020,40021,2020
2018-04-11,2020,2025,2020,2025,14662,2025
2018-04-12,2025,2025,2020,2025,44307,2025
2018-04-13,2025,2025,2020,2025,41842,2025
2018-04-16,2020,2025,2020,2025,31619,2025
2018-04-17,2020,2025,2020,2025,95154,2025
2018-04-18,2020,2030,2020,2030,45333,2030
2018-04-19,2025,2025,2020,2020,30902,2020
2018-04-20,2025,2025,2020,2025,7444,2025
2018-04-23,2020,2025,2020,2025,83954,2025
2018-04-24,2020,2025,2025,2020,48448,2020
2018-04-25,2020,2025,2025,2025,35915,2025
2018-04-26,2020,2025,2025,2025,50572,2025
2018-04-27,2025,2030,2020,2030,56737,2030
2018-04-30,2030,2030,2025,2030,27202,2030
2018-05-02,2025,2030,2025,2030,49808,2030
2018-05-03,2025,2030,2025,2025,20703,2025
2018-05-04,2025,2030,2025,2030,115047,2030
2018-05-08,2030,2035,2030,2030,55502,2030
2018-05-09,2030,2035,2025,2030,48333,2030
2018-05-10,2030,2035,2030,2035,9852,2035
2018-05-11,2030,2035,2030,2035,12498,2035
2018-05-14,2030,2035,2030,2035,9505,2035
2018-05-15,2030,2035,2030,2035,117394,2035
2018-05-16,2030,2035,2030,2035,287254,2035
2018-05-17,2030,2035,2030,2035,39609,2035
2018-05-18,2035,2040,2030,2035,72879,2035
2018-05-21,2030,2040,2030,2035,3080,2035
2018-05-23,2040,2040,2035,2035,308213,2035
2018-05-25,2035,2035,2035,2035,210446,2035
2018-05-28,2040,2040,2035,2035,173042,2035
2018-05-29,2035,2040,2035,2040,16557,2040
2018-05-30,2035,2040,2035,2040,34678,2040
2018-05-31,2040,2040,2035,2035,131483,2035
2018-06-01,2040,2040,2035,2040,164129,2040
2018-06-04,2035,2045,2035,2040,64777,2040
