Date,Open,High,Low,Close,Volume,Adj Close
2018-01-01,2800,2800,2800,2800,0,2800
2018-01-02,2995,3000,2770,2800,573690,2800
2018-01-03,2820,2875,2740,2745,339750,2745
2018-01-04,2790,2790,2600,2700,549667,2700
2018-01-05,2725,2750,2600,2680,451068,2680
2018-01-08,2695,2705,2610,2680,305227,2680
2018-01-09,2720,2795,2645,2750,322807,2750
2018-01-10,2725,2770,2680,2735,233138,2735
2018-01-11,2705,2735,2570,2650,471312,2650
2018-01-12,2645,2690,2580,2675,248298,2675
2018-01-15,2705,2705,2610,2655,329581,2655
2018-01-16,2675,3350,2650,2950,4288270,2950
2018-01-17,2950,3180,2880,3030,1435325,3030
2018-01-18,3070,3095,2965,3000,500582,3000
2018-01-19,3000,3245,3000,3150,981369,3150
2018-01-22,3180,3320,3160,3250,509491,3250
2018-01-23,3265,3330,3170,3210,776885,3210
2018-01-24,3350,3360,3225,3250,971615,3250
2018-01-25,3295,3300,3070,3125,819020,3125
2018-01-26,3155,3585,3085,3350,2712268,3350
2018-01-29,3295,3435,3255,3390,762104,3390
2018-01-30,3400,3420,3265,3270,666629,3270
2018-01-31,3205,3355,3190,3340,444174,3340
2018-02-01,3390,3400,3265,3365,623558,3365
2018-02-02,3365,3430,3325,3385,757093,3385
2018-02-05,3320,3400,3135,3135,613946,3135
2018-02-06,2935,3135,2920,3095,654189,3095
2018-02-07,3120,3235,3050,3050,244531,3050
2018-02-08,2985,3350,2985,3215,493475,3215
2018-02-09,3125,3210,3115,3125,275666,3125
2018-02-12,3125,3210,3015,3090,252295,3090
2018-02-13,3150,3160,3055,3110,209505,3110
2018-02-14,3130,3380,3110,3335,1240865,3335
2018-02-19,3305,3440,3270,3355,767370,3355
2018-02-20,3355,3365,3270,3300,373415,3300
2018-02-21,3330,3910,3245,3685,4962000,3685
2018-02-22,3595,3850,3575,3730,2555502,3730
2018-02-23,3770,4090,3770,3945,4456170,3945
2018-02-26,4000,4140,3250,3335,6699507,3335
2018-02-27,3450,3480,3140,3205,3301659,3205
2018-02-28,3150,3240,2980,3000,1957034,3000
2018-03-02,2985,3130,2970,3000,896431,3000
2018-03-05,2950,2995,2710,2750,1549949,2750
2018-03-06,2785,2910,2650,2710,1172438,2710
2018-03-08,2725,2860,2605,2850,645651,2850
2018-03-09,2850,2995,2850,2935,996782,2935
2018-03-12,2960,3025,2830,2850,851733,2850
2018-03-13,2830,2870,2655,2855,926520,2855
2018-03-14,2870,2870,2785,2785,397398,2785
2018-03-15,2805,2825,2755,2810,322385,2810
2018-03-16,2800,2910,2755,2800,339309,2800
2018-03-19,2800,2800,2680,2740,457902,2740
2018-03-20,2660,2665,2395,2560,1697475,2560
2018-03-21,2600,2640,2425,2450,798321,2450
2018-03-22,2405,2435,2115,2215,2341607,2215
2018-03-23,1840,2875,1840,2875,12894416,2875
2018-03-26,2455,2525,2015,2015,18822772,2015
2018-03-27,1960,2005,1765,1800,16885551,1800
2018-03-28,1885,1940,1795,1865,9139105,1865
2018-03-29,1840,1915,1835,1890,4345372,1890
2018-03-30,1875,1945,1855,1905,4891348,1905
2018-04-02,1910,1915,1855,1895,2851773,1895
2018-04-03,1895,1895,1835,1845,2122168,1845
2018-04-04,1835,1950,1830,1865,5705019,1865
2018-04-05,1865,1880,1800,1825,1916650,1825
2018-04-06,1840,1845,1700,1755,3322642,1755
2018-04-09,1770,1770,1720,1725,1309998,1725
2018-04-10,1690,1800,1690,1745,3112580,1745
2018-04-11,1755,1795,1705,1740,1373340,1740
2018-04-12,1750,1880,1725,1815,4535439,1815
2018-04-13,1820,1925,1720,1925,5810454,1925
2018-04-16,1935,1955,1855,1865,2749673,1865
2018-04-17,1860,1885,1815,1845,1409180,1845
2018-04-18,1840,1870,1815,1815,1479646,1815
2018-04-19,1815,1830,1765,1770,1439346,1770
2018-04-20,1780,1870,1770,1840,1743249,1840
2018-04-23,1900,1900,1810,1820,1377571,1820
2018-04-24,1810,1855,1785,1785,1311420,1785
2018-04-25,1800,1845,1785,1795,1616474,1795
2018-04-26,1780,1795,1590,1670,4571074,1670
2018-04-27,1670,1670,1515,1535,4327061,1535
2018-04-30,1510,1580,1480,1530,5016889,1530
2018-05-02,1545,1660,1495,1575,4166158,1575
