Date,Open,High,Low,Close,Volume,Adj Close
2018-12-06,2015,2020,2010,2015,74434,2015
2018-12-07,2020,2030,2015,2020,93897,2020
2018-12-10,2025,2035,2020,2030,81269,2030
2018-12-11,2030,2035,2015,2035,32659,2035
2018-12-12,2020,2030,2020,2020,14789,2020
2018-12-13,2020,2035,2020,2030,25047,2030
2018-12-14,2020,2030,2020,2030,785,2030
2018-12-17,2020,2020,2015,2020,13378,2020
2018-12-18,2015,2025,2015,2025,10702,2025
2018-12-19,2020,2025,2015,2025,4713,2025
2018-12-20,2020,2020,2015,2020,2400,2020
2018-12-21,2010,2020,2010,2020,218,2020
2018-12-24,2030,2030,2020,2030,6708,2030
2018-12-26,2030,2030,2030,2030,5,2030
2018-12-27,2025,2025,2025,2025,3282,2025
2018-12-28,2015,2030,2015,2030,761,2030
2019-01-02,2015,2015,2015,2015,1,2015
2019-01-03,2020,2020,2020,2020,221,2020
2019-01-04,2025,2025,2025,2025,717,2025
2019-01-07,2015,2015,2015,2015,1,2015
2019-01-08,2020,2020,2015,2015,2182,2015
2019-01-09,2010,2010,2010,2010,1,2010
2019-01-10,2015,2020,2015,2020,1269,2020
2019-01-11,2020,2020,2020,2020,2596,2020
2019-01-14,2020,2020,2020,2020,7693,2020
2019-01-15,2035,2035,2030,2030,5901,2030
2019-01-16,2020,2040,2020,2025,3,2025
2019-01-17,2040,2040,2025,2025,2,2025
2019-01-18,2030,2040,2030,2040,301,2040
2019-01-21,2035,2035,2035,2035,100,2035
2019-01-22,2035,2040,2030,2030,505,2030
